ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Zr,Homo,Normal,Temper1,Temper2,Temper3,AGS No.,CT_Temp,CT_CS,CT_RT,CT_EL,CT_RA,CT_MCR,CT_0.1% CS,CT_0.15%CS,CT_0.2% CS,CT_0.25% CS,CT_0.5% CS,CT_1.0% CS,CT_2.0% CS,CT_5.0% CS,CT_TTC,Weighted_AN
9Cr-001,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,,1,1150,700,,,6.5,650,206.843,665.8,,84,,,,,,,,,,,26.339438000000005
9Cr-001,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,,1,1150,700,,,6.5,650,189.606,1187.5,20.7,84.5,,,,,,,,,,,26.339438000000005
9Cr-001,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,,1,1150,700,,,6.5,650,172.369,1454,28.7,85.3,,,,,,,,,,,26.339438000000005
9Cr-001,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,,1,1150,700,,,6.5,650,155.132,2344,26.9,87.4,,,,,,,,,,,26.339438000000005
9Cr-001,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,,1,1150,700,,,6.5,650,153.753,3469,32.1,90.7,,,,,,,,,,,26.339438000000005
9Cr-001,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,,1,1150,700,,,6.5,650,137.895,5388,9,83.7,,,,,,,,,,,26.339438000000005
9Cr-001,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,,1,1150,700,,,6.5,650,120.658,12730,35.7,88.6,,,,,,,,,,,26.339438000000005
9Cr-001,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,,1,1150,700,,,6.5,650,103.421,25234,,,,,,,,,,,,,26.339438000000005
9Cr-002,85.645,0.15,9.812,0.288,0.15,0.217,1.529,1.464,0.428,0.059,0.005,0.003,0.003,,0.202,,,0.204,0.0078,0.0252,0.0029,0.0058,,1,1150,700,,,6,650,206.843,498.9,24.2,79.1,,,,,,,,,,,26.353624
9Cr-002,85.645,0.15,9.812,0.288,0.15,0.217,1.529,1.464,0.428,0.059,0.005,0.003,0.003,,0.202,,,0.204,0.0078,0.0252,0.0029,0.0058,,1,1150,700,,,6,650,172.369,1513.5,23.8,80.8,,,,,,,,,,,26.353624
9Cr-003,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,,1,1150,700,,,6.5,650,206.843,555,13,74.1,,,,,,,,,,,26.363106
9Cr-003,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,,1,1150,700,,,6.5,650,172.369,1773.5,24.3,79.3,,,,,,,,,,,26.363106
9Cr-003,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,,1,1150,700,,,6.5,650,155.132,2196,14.4,76,,,,,,,,,,,26.363106
9Cr-003,85.351,0.16,9.953,0.473,0.111,0.224,1.588,1.342,0.493,0.061,0.009,0.003,0.003,,0.198,,,0.194,0.0086,0.0222,0.0034,0.0055,,1,1150,700,,,,650,120.658,9974,11.8,57.3,,,,,,,,,,,26.363106
9Cr-004,85.219,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,,1,1150,700,,,6.5,650,189.606,860,16.5,77.4,,,,,,,,,,,26.392776000000005
9Cr-004,85.351,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,,1,1150,700,,,6.5,650,172.369,1732,27,75.6,,,,,,,,,,,26.42709600000001
9Cr-004,85.351,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,,1,1150,700,,,6.5,650,155.132,2239.3,26.5,79.8,,,,,,,,,,,26.42709600000001
9Cr-004,85.219,0.16,10.121,0.43,0.101,0.215,1.557,1.312,0.526,0.054,0.01,0.001,0.003,,0.244,,,0.212,0.0083,0.0245,0.0036,0.0058,,1,1150,700,,,6.5,650,137.895,5783.6,21.1,72.4,,,,,,,,,,,26.392776000000005
9Cr-005,85.351,0.15,9.993,0.421,0.117,0.206,1.505,1.325,0.53,0.049,0.014,0.001,0.003,,0.28,,,0.199,0.0087,0.0221,0.0032,0.0058,,1,1150,700,,,7,650,189.606,704,27.7,79.7,,,,,,,,,,,26.409206000000005
9Cr-005,85.351,0.15,9.993,0.421,0.117,0.206,1.505,1.325,0.53,0.049,0.014,0.001,0.003,,0.28,,,0.199,0.0087,0.0221,0.0032,0.0058,,1,1150,700,,,7,650,137.895,4210,21.1,74.2,,,,,,,,,,,26.409206000000005
9Cr-006,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,,1,1150,700,,,6,650,188.227,1026,,88.1,,,,,,,,,,,26.371937000000006
9Cr-006,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,,1,1150,700,,,6,650,172.369,1860.3,18.4,84.1,,,,,,,,,,,26.371937000000006
9Cr-006,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,,1,1150,700,,,6,650,171.68,1827,29.6,87.2,,,,,,,,,,,26.371937000000006
9Cr-006,85.362,0.15,10.034,0.43,0.106,0.214,1.585,1.365,0.508,0.058,0.005,0.003,0.031,,0.155,,,0.219,0.0087,0.0278,0.0064,0.0059,,1,1150,700,,,6,650,137.8952,4070.5,16.9,83,,,,,,,,,,,26.371937000000006
9Cr-007,85.5,0.15,9.875,0.414,0.078,0.27,1.467,1.268,0.472,0.056,0.019,0.001,0.006,,0.269,,0.115,0.202,0.0102,0.0238,0.0032,0.0058,,1,1150,700,,,6,650,172.369,1274.7,27,74.9,,,,,,,,,,,26.436710000000005
9Cr-008,83.837,0.15,10.639,0.415,0.101,0.28,2.933,0.504,0.513,0.056,0.013,0.001,0.033,,0.266,,,0.205,0.0089,0.0341,0.005,0.006,,1,1150,700,,,7,650,172.369,1276,48.6,87.8,,,,,,,,,,,26.219372
9Cr-009,84.167,0.14,10.629,0.403,0.084,0.27,2.937,0.505,0.517,0.055,0.012,0.001,0.031,,0.003,,,0.203,0.0087,0.02,0.0075,0.0064,,1,1150,700,,,1,650,172.369,1170,5,20.4,,,,,,,,,,,26.104149000000007
