ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,V,B,N,S,Homo,Normal,Temper1,AGS No.,CT_Temp,CT_CS,CT_RT,CT_EL,CT_RA,CT_MCR,CT_0.5% CS,CT_1.0% CS,CT_2.0% CS,CT_5.0% CS,CT_TTC
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,600,320,199.6,11,14,0.0028,,,,,86
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,600,280,1314,10,12,0.00034,,,,140,365
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,600,260,1913.6,9,12,0.00074,,,,1190,341
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,600,240,6678.8,9,14,0.00052,,,80,4140,1650
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,600,220,34874.8,8,11,5e-05,,,1290,28800,26100
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,600,200,59486.7,8,11,1.5e-05,,1100,10600,56700,40000
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,625,200,15223.8,20,20,8.5e-05,,241,1790,13100,8790
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,650,260,108.6,37,43,0.024,,,,19,49
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,650,240,240.7,43,51,0.01,,,,122,84
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,650,220,982.3,36,54,0.0058,,,6,356,191
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,650,200,3206.1,34,51,0.00081,,3,286,2390,1940
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,650,180,6276,36,45,0.00023,5,270,2900,5290,3340
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,650,160,9517.8,20,22,7.7e-05,23,691,5870,8390,4520
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,650,140,16056.8,30,39,4.9e-05,339,6590,10800,13600,8070
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,650,120,26534.6,31,36,1.3e-05,8000,14100,17800,22000,10500
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,650,100,61626.2,16,16,1.6e-05,12700,28300,39500,52100,26700
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,700,200,73.5,38,70,0.052,,,7,46,32
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,700,160,402.3,49,76,0.0045,1,21,181,284,170
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,700,140,898.1,51,69,0.0015,17,271,482,656,369
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,700,120,2536.3,46,57,0.00039,506,1130,1460,1840,1070
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,700,100,6555,39,43,0.00021,838,2420,3270,4510,2480
AUS_001,67.513,0.09,18.2,1.57,0.4,11.32,,,,0.88,,0.026,,,,,,0.001,0,1190,,8.9,700,80,16874.4,24,34,1.2e-05,4860,6640,8920,12700,4050
