,Alloy ID #,Source,Alloy Name (Designation),Heat (Melt) Number,Notes,Melt Method,Deoxidation Process,Ingot Size (kg),Product Form,Product Dimensions,Unnamed: 10,Unnamed: 11,Processing History,Microstructure Characteization Methods,Unnamed: 14,Tensile Test Method,Creep Rupture Test Method,Creep Test Method,Low Cycle Fatigue Test Method,High Cycle Fatigue Test Method,Stress Relaxation Test Method
0,,,,,,,,,,OD or T (mm),WT or W (mm),L (mm),,AGS Number,Non-Metallic Incl.,,,,,,
1,AUS_001,NIMS 57A,ASME SA-213/SA-213M,AEQ,"18Cr-10Ni-Nb, Grade TP347HFG",BEA,Si-Al-killed,3200.0,Tube,48.7,8.1,7000,Hot Extruded & Cold Drawn,JIS G0551-1977,JIS G 0555-1977,JIS G 0567,JIS Z 2272,JIS Z 2271,,,
2,AUS_002,NIMS 28B," (SUS 347H TB), HEAT AEA",AEA,18Cr-10Ni-Nb,BEA,Si-killed,3350.0,Tube,50.8,8,5000,Hot Extruded & Cold Drawn,JIS G0551-1977,JIS G 0555-1977,JIS G 0567,JIS Z 2272,JIS Z 2271,,,
3,AUS_003,NIMS 28B,SUS 347H TB,AEB,18Cr-10Ni-Nb,BEA,Si-killed,3350.0,Tube,50.8,8,5000,Hot Extruded & Cold Drawn,JIS G0551-1977,JIS G 0555-1977,JIS G 0567,JIS Z 2272,JIS Z 2271,,,
4,AUS_004,NIMS 28B,SUS 347H TB,AEC,18Cr-10Ni-Nb,BEA,Si-killed,3350.0,Tube,50.8,8,5000,Hot Extruded & Cold Drawn,JIS G0551-1977,JIS G 0555-1977,JIS G 0567,JIS Z 2272,JIS Z 2271,,,
5,AUS_005,NIMS 28B,SUS 347H TB,AED,18Cr-10Ni-Nb,BEA,Si-killed,6000.0,Tube,50.8,8.8,5000,Hot Extruded & Cold Drawn,JIS G0551-1977,JIS G 0555-1977,JIS G 0567,JIS Z 2272,JIS Z 2271,,,
6,AUS_006,NIMS 28B,SUS 347H TB,AEE,18Cr-10Ni-Nb,BEA,Si-killed,6000.0,Tube,50.8,8.8,5000,Hot Extruded & Cold Drawn,JIS G0551-1977,JIS G 0555-1977,JIS G 0567,JIS Z 2272,JIS Z 2271,,,
7,AUS_007,NIMS 28B,SUS 347H TB,AEF,18Cr-10Ni-Nb,BEA,Si-killed,6000.0,Tube,50.8,8.8,5000,Hot Extruded & Cold Drawn,JIS G0551-1977,JIS G 0555-1977,JIS G 0567,JIS Z 2272,JIS Z 2271,,,
8,AUS_008,NIMS 28B,SUS 347H TB,AEG,18Cr-10Ni-Nb,BEA,Si-killed,3000.0,Tube,50.8,8,5000,Hot Extruded & Cold Drawn,JIS G0551-1977,JIS G 0555-1977,JIS G 0567,JIS Z 2272,JIS Z 2271,,,
9,AUS_009,NIMS 28B,SUS 347H TB,AEH,18Cr-10Ni-Nb,HFIF,Si-killed,3000.0,Tube,50.8,8,5000,Hot Extruded & Cold Drawn,JIS G0551-1977,JIS G 0555-1977,JIS G 0567,JIS Z 2272,JIS Z 2271,,,
