iter	RMSE
0	25705.28223
1	25448.30022
2	25152.16316
3	24857.73894
4	24605.3506
5	24392.70634
6	24156.84151
7	23880.7725
8	23622.93562
9	23387.29994
10	23171.81295
11	22965.66101
12	22685.44048
13	22463.36623
14	22208.59167
15	22023.87041
16	21775.93218
17	21590.60351
18	21371.685
19	21106.39029
20	20885.42883
21	20567.58907
22	20386.95549
23	20225.07539
24	19981.07598
25	19812.43627
26	19594.87675
27	19455.28642
28	19297.52049
29	19207.71429
30	18986.97111
31	18904.84508
32	18683.44869
33	18604.03563
34	18440.54783
35	18249.91249
36	18126.71427
37	17913.38921
38	17744.55874
39	17663.13012
40	17563.58672
41	17443.30939
42	17285.79015
43	17098.22765
44	17020.01512
45	16836.64855
46	16701.07209
47	16550.78964
48	16417.48003
49	16262.49107
50	16118.04004
51	15958.51653
52	15849.98951
53	15765.15175
54	15584.5419
55	15427.70138
56	15272.88963
57	15158.88446
58	15094.20332
59	14951.523
60	14811.66636
61	14713.58971
62	14639.67264
63	14520.07195
64	14386.11384
65	14258.10436
66	14158.38074
67	14065.18271
68	14000.97726
69	13860.48338
70	13804.02031
71	13680.0907
72	13557.29494
73	13504.07026
74	13340.97954
75	13240.00971
76	13142.48833
77	13022.78734
78	12924.14704
79	12813.93221
80	12699.30342
81	12613.32386
82	12530.61922
83	12419.57702
84	12359.408
85	12233.45773
86	12142.82278
87	12036.23842
88	11966.27512
89	11907.41311
90	11821.98874
91	11762.92782
92	11710.10608
93	11613.88706
94	11499.34154
95	11446.46658
96	11351.42864
97	11261.54731
98	11191.63423
99	11090.26858
100	11019.64312
101	10931.47686
102	10862.86868
103	10804.53104
104	10703.22695
105	10621.43843
106	10572.59839
107	10524.60329
108	10480.51499
109	10411.68253
110	10345.51087
111	10260.54759
112	10170.42102
113	10093.23631
114	10050.90386
115	9958.138289
116	9914.382056
117	9850.752099
118	9769.43377
119	9717.776959
120	9660.929825
121	9579.019574
122	9522.939836
123	9479.997118
124	9389.814335
125	9345.057921
126	9288.802434
127	9221.420237
128	9161.924829
129	9122.891949
130	9084.980297
131	9028.371804
132	8981.035277
133	8924.281633
134	8854.466671
135	8797.404192
136	8761.501571
137	8668.651299
138	8589.970799
139	8553.174417
140	8500.279965
141	8438.586225
142	8401.326721
143	8369.653391
144	8310.453245
145	8275.162954
146	8224.530052
147	8168.882606
148	8103.10537
149	8052.644915
150	7992.700139
151	7945.83389
152	7878.133407
153	7836.270656
154	7785.772852
155	7740.368484
156	7699.460818
157	7651.330338
158	7606.387988
159	7556.288633
160	7506.185312
161	7457.163831
162	7399.602597
163	7358.673411
164	7297.650108
165	7267.446774
166	7210.920974
167	7171.771066
168	7125.789734
169	7094.826813
170	7048.566201
171	7012.959859
172	6984.089834
173	6949.151778
174	6906.112344
175	6879.338191
176	6847.996522
177	6792.620573
178	6752.93471
179	6693.410323
180	6636.932796
181	6607.541434
182	6583.004089
183	6555.213949
184	6500.270312
185	6476.005417
186	6419.115137
187	6390.356134
188	6354.141559
189	6324.905203
190	6300.503452
191	6272.213944
192	6222.079672
193	6201.27596
194	6161.27785
195	6138.278563
196	6112.447621
197	6090.071263
198	6049.165325
199	6018.697291
200	5980.538314
201	5922.840316
202	5890.226649
203	5851.066234
204	5828.645378
205	5772.518251
206	5751.001122
207	5721.600611
208	5695.305786
209	5667.278075
210	5640.171126
211	5594.755912
212	5568.139038
213	5541.810916
214	5518.042712
215	5468.099243
216	5444.624839
217	5419.40633
218	5400.323051
219	5351.292385
220	5328.630907
221	5292.616502
222	5238.828943
223	5182.97148
224	5161.933343
225	5141.010375
226	5120.106255
227	5098.264962
228	5056.297352
229	5020.327194
230	5000.587316
231	4949.275638
232	4928.635025
233	4884.017125
234	4862.876761
235	4818.388785
236	4786.975345
237	4741.736833
238	4723.498231
239	4681.005763
240	4662.420488
241	4642.638366
242	4623.995922
243	4578.851702
244	4529.930785
245	4488.168984
246	4470.587354
247	4452.193793
248	4435.691233
249	4413.032345
250	4370.230109
251	4353.516672
252	4336.531334
253	4287.163704
254	4248.279885
255	4234.495234
256	4195.039582
257	4179.233342
258	4141.650057
259	4103.990998
260	4087.116154
261	4049.631876
262	4034.540559
263	4019.626687
264	4004.893069
265	3967.703102
266	3932.340311
267	3918.007311
268	3903.84243
269	3868.26513
270	3854.919027
271	3841.176708
272	3806.662415
273	3793.168389
274	3755.014255
275	3717.936586
276	3704.729495
277	3691.774079
278	3678.964918
279	3644.531551
280	3631.982036
281	3619.589487
282	3607.344057
283	3572.137877
284	3560.121826
285	3532.681395
286	3498.921847
287	3487.247205
288	3460.688477
289	3449.236505
290	3419.398032
291	3408.156435
292	3397.04999
293	3365.071897
294	3333.761874
295	3322.930618
296	3312.23196
297	3301.662524
298	3271.215702
299	3241.403697
300	3231.095403
301	3220.751085
302	3210.687991
303	3182.110449
304	3172.118607
305	3148.246324
306	3138.42091
307	3110.148505
308	3100.553627
309	3076.369298
310	3067.085353
311	3043.211382
312	3016.217665
313	3007.545658
314	2998.959942
315	2972.483124
316	2947.765543
317	2938.850713
318	2930.143946
319	2921.65766
320	2897.629456
321	2874.07785
322	2865.840707
323	2858.038642
324	2849.846606
325	2827.151391
326	2807.134142
327	2799.203173
328	2778.582114
329	2770.76998
330	2763.053916
331	2743.537925
332	2721.237324
333	2713.755913
334	2692.62284
335	2686.230088
336	2666.020614
337	2659.750862
338	2641.290283
339	2635.151158
340	2613.056141
341	2607.045682
342	2586.350787
343	2568.901245
344	2563.061659
345	2557.298891
346	2540.204959
347	2521.63161
348	2516.024347
349	2510.490877
350	2493.578482
351	2488.161308
352	2469.191852
353	2463.881576
354	2444.819796
355	2439.621619
356	2423.621506
357	2418.5327
358	2397.001061
359	2392.024753
360	2376.793429
361	2371.921892
362	2356.169244
363	2351.403857
364	2333.649142
365	2318.878864
366	2301.838991
367	2292.683388
368	2282.135873
369	2271.775558
370	2267.330483
371	2253.335071
372	2244.700787
373	2228.931474
374	2219.100137
375	2209.443418
376	2194.000835
377	2184.62765
378	2180.52975
379	2171.365545
380	2155.929384
381	2147.02122
382	2143.092381
383	2130.285423
384	2121.645709
385	2109.136071
386	2100.717196
387	2086.10836
388	2077.925719
389	2073.845539
390	2059.637845
391	2051.343801
392	2043.214577
393	2031.191355
394	2023.272909
395	2006.547516
396	1998.845917
397	1985.486041
398	1978.01057
399	1970.681602
400	1959.482964
401	1952.343074
402	1938.647333
403	1931.679088
404	1924.846856
405	1911.501153
406	1904.833661
407	1891.799643
408	1885.293363
409	1874.720317
410	1871.425805
411	1859.384764
412	1853.151352
413	1842.912873
414	1839.749449
415	1827.463029
416	1824.359227
417	1814.473217
418	1803.057357
419	1800.044489
420	1794.206472
421	1783.723843
422	1774.253307
423	1771.361381
424	1759.878045
425	1751.012389
426	1739.060121
427	1736.272711
428	1723.889978
429	1721.163474
430	1712.665024
431	1704.186533
432	1701.545912
433	1690.141882
434	1679.434278
435	1668.349837
436	1665.801739
437	1654.162827
438	1651.671196
439	1649.213251
440	1641.059746
441	1632.867481
442	1622.852167
443	1612.26647
444	1609.911722
445	1600.32471
446	1593.354021
447	1591.076905
448	1584.051194
449	1573.935168
450	1564.379372
451	1562.185036
452	1552.843132
453	1542.997296
454	1540.869127
455	1531.757768
456	1522.153353
457	1519.808896
