iter	Passed	Remaining
0	1	5204
1	2	5171
2	3	5033
3	3	4767
4	5	5164
5	6	5180
6	7	5102
7	8	5056
8	9	5009
9	9	4980
10	10	4950
11	11	4951
12	12	4963
13	13	4939
14	14	4907
15	15	4885
16	16	4894
17	17	4881
18	18	4876
19	19	4857
20	21	5001
21	22	5025
22	23	5015
23	24	5022
24	25	5026
25	26	5024
26	27	5152
27	28	5138
28	29	5130
29	30	5110
30	31	5088
31	32	5084
32	33	5066
33	35	5179
34	36	5156
35	37	5142
36	38	5131
37	39	5117
38	40	5104
39	41	5117
40	42	5117
41	43	5104
42	44	5088
43	45	5080
44	46	5070
45	46	5059
46	47	5053
47	48	5045
48	50	5084
49	51	5107
50	52	5106
51	53	5109
52	54	5111
53	55	5114
54	57	5157
55	58	5149
56	59	5140
57	60	5129
58	61	5119
59	62	5110
60	62	5098
61	64	5118
62	65	5113
63	67	5175
64	68	5230
65	70	5275
66	72	5332
67	73	5338
68	74	5331
69	75	5319
70	76	5310
71	77	5300
72	78	5299
73	79	5299
74	80	5309
75	81	5311
76	83	5307
77	84	5314
78	85	5317
79	86	5338
80	87	5328
81	88	5319
82	89	5310
83	90	5303
84	91	5295
85	93	5317
86	94	5329
87	95	5320
88	96	5310
89	97	5300
90	98	5290
91	98	5280
92	100	5281
93	101	5274
94	101	5265
95	102	5258
96	103	5250
97	104	5242
98	105	5235
99	106	5238
100	107	5234
101	108	5228
102	110	5239
103	111	5242
104	112	5235
105	113	5236
106	114	5245
107	115	5242
108	116	5241
109	117	5234
110	118	5231
111	119	5224
112	120	5220
113	122	5257
114	124	5287
115	126	5323
116	127	5337
117	129	5342
118	130	5333
119	131	5328
120	131	5322
121	133	5321
122	134	5314
123	134	5306
124	136	5317
125	137	5310
126	138	5304
127	139	5297
128	140	5294
129	141	5308
130	142	5309
131	144	5311
132	145	5311
133	146	5309
134	147	5320
135	148	5323
136	149	5320
137	150	5315
138	151	5311
139	152	5306
140	153	5304
141	154	5297
142	155	5291
143	156	5284
144	157	5289
145	158	5284
146	159	5278
147	160	5271
148	161	5267
149	162	5261
150	163	5254
151	164	5251
152	165	5245
153	166	5238
154	167	5233
155	168	5229
156	169	5231
157	171	5251
158	172	5249
159	173	5248
160	174	5249
161	175	5252
162	176	5250
163	177	5245
164	178	5242
165	179	5237
166	180	5232
167	181	5227
168	182	5222
169	184	5235
170	185	5233
171	186	5229
172	187	5223
173	188	5220
174	189	5214
175	190	5210
176	191	5204
177	191	5199
178	192	5196
179	193	5190
180	194	5186
181	195	5182
182	196	5177
183	197	5173
184	198	5169
185	199	5176
186	201	5174
187	201	5169
188	203	5171
189	204	5170
190	205	5169
191	206	5175
192	207	5172
193	208	5168
194	209	5163
195	210	5158
196	211	5154
197	212	5149
198	213	5155
199	214	5151
200	215	5145
201	216	5141
202	217	5137
203	218	5133
204	219	5129
205	220	5126
206	221	5121
207	222	5125
208	223	5122
209	224	5117
210	225	5113
211	226	5110
212	227	5106
213	228	5103
214	229	5107
215	230	5106
216	231	5106
217	232	5108
218	233	5108
219	234	5105
220	236	5104
221	237	5101
222	238	5098
223	238	5094
224	239	5090
225	240	5086
226	241	5082
227	242	5081
228	243	5078
229	244	5074
230	245	5070
231	246	5067
232	247	5063
233	248	5062
234	249	5057
235	250	5053
236	251	5050
237	252	5046
238	253	5042
239	254	5038
240	254	5034
241	255	5030
242	256	5027
243	258	5035
244	259	5033
245	260	5032
246	261	5033
247	262	5033
248	263	5032
249	264	5030
250	265	5026
251	266	5023
252	267	5019
253	268	5016
254	269	5014
255	270	5011
256	271	5008
257	272	5009
258	273	5007
259	274	5004
260	275	5001
261	276	4999
262	277	4996
263	278	4993
264	279	4990
265	280	4987
266	281	4984
267	282	4981
268	283	4978
269	284	4975
270	284	4972
271	285	4969
272	286	4967
273	288	4971
274	289	4975
275	290	4975
276	291	4976
277	293	4976
278	294	4978
279	295	4978
280	296	4977
281	297	4974
282	298	4971
283	299	4968
284	300	4965
285	301	4965
286	302	4963
287	303	4960
288	304	4957
289	305	4954
290	305	4951
291	306	4949
292	307	4946
293	308	4943
