iter	RMSE
0	5439.352398
1	5302.534424
2	5175.802423
3	5050.958012
4	4934.31737
5	4820.587322
6	4707.145949
7	4594.754893
8	4489.700856
9	4384.299321
10	4281.771188
11	4185.057621
12	4089.506138
13	3994.397528
14	3904.804972
15	3818.630764
16	3733.408223
17	3656.603454
18	3575.355908
19	3500.463988
20	3425.829977
21	3356.231048
22	3286.160695
23	3217.45126
24	3150.361477
25	3086.504324
26	3024.641497
27	2964.62011
28	2906.55388
29	2850.132343
30	2793.604151
31	2738.769797
32	2685.24699
33	2635.926384
34	2589.474952
35	2542.97564
36	2497.661153
37	2452.233986
38	2409.795487
39	2366.699495
40	2327.128179
41	2288.725741
42	2246.658404
43	2209.023482
44	2171.573191
45	2137.208907
46	2100.777888
47	2067.180282
48	2034.950656
49	2004.815619
50	1973.910931
51	1943.522916
52	1913.271546
53	1882.610348
54	1852.579571
55	1823.692758
56	1795.224387
57	1770.34538
58	1743.151413
59	1719.667694
60	1695.99651
61	1671.649451
62	1647.473528
63	1624.825282
64	1601.459548
65	1579.288485
66	1559.531822
67	1538.36251
68	1521.442074
69	1504.682226
70	1485.850249
71	1465.675617
72	1447.781008
73	1429.807609
74	1413.016254
75	1396.950878
76	1379.499358
77	1362.865957
78	1347.094513
79	1331.331523
80	1316.298261
81	1302.773895
82	1289.109118
83	1274.755579
84	1263.2236
85	1250.898113
86	1237.634648
87	1224.347052
88	1214.016797
89	1202.660002
90	1191.632742
91	1180.163231
92	1169.494298
93	1159.40229
94	1149.752849
95	1138.808482
96	1129.933354
97	1120.881742
98	1110.841829
99	1100.681623
100	1092.044693
101	1083.362664
102	1074.397687
103	1067.622091
104	1059.308879
105	1051.1043
106	1042.822116
107	1034.133457
108	1026.395492
109	1018.348336
110	1010.246153
111	1002.532292
112	995.2443102
113	988.2745111
114	981.7574196
115	974.4736385
116	968.104357
117	961.1292802
118	954.2541362
119	947.3007873
120	939.6472211
121	933.0441694
122	927.8516526
123	921.868743
124	916.4767745
125	910.4533239
126	905.3408358
127	900.024714
128	894.318533
129	889.2032448
130	883.7659095
131	879.6701486
132	874.4508693
133	869.7144055
134	864.1161596
135	859.4484603
136	853.2257123
137	848.8980363
138	844.3271037
139	838.9902432
140	833.6132591
141	829.338602
142	824.4999294
143	821.2276099
144	817.6323655
145	813.3546805
146	808.4750682
147	803.9628198
148	799.3237981
149	795.324051
150	791.5528163
151	787.5293801
152	783.7094843
153	780.4048279
154	776.4853921
155	773.4227519
156	770.9160779
157	766.9840997
158	763.7354964
159	759.8570121
160	755.854682
161	752.3300814
162	748.1963339
163	744.2321443
164	740.7933876
165	737.9779786
166	733.9765221
167	730.4172274
168	727.7751046
169	724.3425376
170	719.857344
171	716.8280151
172	714.5232531
173	711.9971374
174	708.8028857
175	705.7772671
176	703.0343017
177	700.6705616
178	698.2116015
179	694.4007671
180	691.3704653
181	688.3495299
182	685.7551071
183	682.4133282
184	679.680106
185	676.9188435
186	674.1559226
187	670.8385633
188	669.1093411
189	666.293171
190	663.9074047
191	661.2291296
192	660.1682912
193	658.4728653
194	656.3388896
195	654.2614926
196	651.8078623
197	649.7560593
198	647.8616342
199	645.3296347
200	642.648138
201	640.3808396
202	637.5205397
203	634.6943623
204	632.0573623
205	629.6058743
206	626.4436454
207	624.8715106
208	622.0114797
209	620.083219
210	618.3774647
211	616.7903227
212	615.0532209
213	613.0137695
214	610.3133528
215	608.8501191
216	606.3861374
217	604.7175349
