iter	RMSE
0	19162.36503
1	19120.56976
2	19076.41443
3	19037.52648
4	18998.54051
5	18961.06055
6	18921.32995
7	18875.76975
8	18834.91831
9	18794.10646
10	18753.08689
11	18709.89518
12	18669.09872
13	18626.33869
14	18588.32231
15	18543.03152
16	18502.63633
17	18467.45665
18	18425.18965
19	18382.98806
20	18341.43046
21	18302.73091
22	18266.48426
23	18228.95123
24	18192.61009
25	18153.91204
26	18119.66005
27	18078.21366
28	18038.39898
29	17997.70178
30	17959.85416
31	17922.16093
32	17884.63348
33	17843.51866
34	17807.9991
35	17769.42478
36	17730.35894
37	17694.11642
38	17652.77342
39	17614.02976
40	17574.69448
41	17539.72821
42	17502.35119
43	17463.91829
44	17430.37014
45	17395.70362
46	17357.82037
47	17320.34488
48	17284.13311
49	17245.77091
50	17214.05622
51	17180.6626
52	17147.53024
53	17117.98232
54	17082.41872
55	17048.51962
56	17012.67114
57	16978.2323
58	16940.83847
59	16900.95587
60	16866.91202
61	16838.93732
62	16803.62926
63	16766.51287
64	16732.52732
65	16702.28503
66	16665.59129
67	16628.50477
68	16597.76367
69	16564.85123
70	16530.69509
71	16499.80778
72	16467.85754
73	16436.93343
74	16404.95812
75	16373.81956
76	16337.9921
77	16310.60242
78	16279.16188
79	16243.14793
80	16213.63816
81	16178.89311
82	16146.67572
83	16110.18942
84	16080.85399
85	16051.27863
86	16017.14816
87	15981.96492
88	15947.75503
89	15921.36997
90	15895.63354
91	15866.55956
92	15837.1414
93	15812.77716
94	15789.3785
95	15757.90451
96	15727.64217
97	15701.31217
98	15671.22134
99	15646.74982
100	15621.53032
101	15597.72933
102	15570.08985
103	15544.99347
104	15511.70909
105	15480.08084
106	15447.45676
107	15414.22487
108	15382.92562
109	15357.45992
110	15328.98097
111	15300.68271
112	15272.42256
113	15244.29028
114	15216.54645
115	15186.71187
116	15158.93048
117	15134.78183
118	15103.6755
119	15074.39258
120	15045.53617
121	15018.18605
122	14996.87036
123	14973.47591
124	14943.55425
125	14916.89614
126	14894.42897
127	14864.72599
128	14835.89088
129	14810.26436
130	14778.59253
131	14756.74583
132	14733.1466
133	14708.78287
134	14681.58816
135	14652.13779
136	14624.39422
137	14598.52926
138	14570.37589
139	14546.67386
140	14521.57345
141	14494.4915
142	14472.93612
143	14448.02928
144	14418.76134
145	14390.32849
146	14363.16026
147	14335.03528
148	14306.08166
149	14286.84444
150	14260.68669
151	14241.00585
152	14217.35972
153	14192.3751
154	14167.54274
155	14144.03554
156	14123.47363
157	14095.45969
158	14073.40436
159	14048.3723
160	14020.21404
161	13994.92676
162	13971.61252
163	13948.08329
164	13924.06504
165	13900.68162
166	13878.99033
167	13852.67238
168	13828.23693
169	13805.60295
170	13782.16173
171	13764.32674
172	13740.35898
173	13720.13974
174	13693.01881
175	13668.63061
176	13647.03745
177	13623.94148
178	13597.68161
179	13572.69419
180	13549.27516
181	13524.31971
182	13502.59171
183	13478.64828
184	13457.08885
185	13431.89356
186	13409.39315
187	13389.33775
188	13365.87502
189	13343.2973
190	13322.12746
191	13297.45312
192	13274.10141
193	13251.52964
194	13229.57617
195	13206.45723
196	13186.16917
197	13162.15052
198	13136.17358
199	13114.49465
200	13092.49067
201	13072.14197
202	13048.52149
203	13026.64672
204	13007.02764
205	12984.95183
206	12962.61549
207	12942.72974
208	12921.57386
209	12901.89597
210	12882.05511
211	12859.18756
212	12842.98775
213	12821.17528
214	12800.6883
215	12784.37276
216	12765.26125
217	12744.82033
218	12717.43593
219	12697.05332
220	12680.09276
221	12660.31953
222	12640.0374
223	12616.10167
224	12597.86049
225	12575.81459
226	12555.35048
227	12533.81472
228	12512.96359
229	12494.5032
230	12475.95588
231	12454.69364
232	12435.04467
233	12415.48654
234	12397.62183
235	12376.43525
236	12359.7138
237	12339.49238
238	12319.66998
239	12304.17211
240	12284.34605
241	12264.70698
242	12244.88942
243	12226.93559
244	12208.80182
245	12187.20118
246	12172.22537
247	12155.07971
248	12137.5821
249	12121.97894
250	12106.52959
251	12086.80429
252	12063.70736
253	12049.11373
254	12030.85246
255	12008.74734
256	11985.96368
257	11964.93761
258	11950.41505
259	11931.55002
260	11912.11546
261	11892.5822
262	11870.34821
263	11853.85542
264	11832.76181
265	11812.97709
266	11796.31761
267	11782.06607
268	11765.48765
269	11752.26474
270	11736.19806
271	11716.3236
272	11700.04608
273	11682.86902
274	11664.0548
275	11642.74044
276	11623.31483
277	11608.92479
278	11589.43826
279	11574.74081
280	11553.94144
281	11539.28737
282	11517.91541
283	11502.9754
284	11485.10479
285	11466.84456
286	11447.62016
287	11430.50132
288	11415.16637
289	11401.56223
290	11382.75625
291	11364.48188
292	11349.72878
293	11332.9487
294	11316.94449
295	11302.05101
296	11285.5672
297	11264.27105
298	11249.56517
299	11232.73549
300	11213.8101
301	11197.8727
302	11179.58193
303	11165.55875
304	11151.13214
305	11134.68102
306	11116.02468
307	11100.07718
308	11083.50516
309	11066.27898
310	11048.62801
311	11035.73221
312	11019.2639
313	11005.16755
314	10989.27381
315	10970.95911
316	10957.13349
317	10942.36681
318	10924.17845
319	10912.55524
320	10894.22809
321	10879.09825
322	10863.45487
323	10847.00481
324	10834.29922
325	10816.68189
326	10801.68473
327	10787.37743
328	10772.41982
329	10754.29008
330	10742.9364
331	10726.75779
332	10710.71671
333	10695.77323
334	10677.38292
335	10661.04997
336	10647.42012
337	10634.39753
338	10618.16621
339	10602.53584
340	10586.89913
341	10573.61841
342	10557.61383
343	10544.65297
344	10532.17181
345	10516.93222
346	10503.56743
347	10491.07334
348	10475.38989
349	10458.99148
350	10444.58564
351	10430.14365
352	10418.07955
353	10404.02256
354	10387.31543
355	10374.45524
356	10358.0102
357	10341.32826
358	10327.32452
359	10313.07988
360	10300.0347
361	10285.75359
362	10270.14842
363	10254.3381
364	10237.44359
365	10226.28465
366	10210.98898
367	10199.19285
368	10185.50893
369	10172.96725
370	10159.16656
371	10148.14715
372	10130.96304
373	10118.33957
374	10106.74714
375	10097.08273
376	10083.21647
377	10069.49619
378	10057.56142
379	10042.27521
380	10027.35584
381	10010.00019
382	9997.455692
383	9980.657699
384	9966.516294
385	9955.988757
386	9939.739854
387	9928.720152
388	9917.792643
389	9905.630177
390	9894.310328
391	9880.309558
392	9865.740624
393	9855.222631
394	9840.895343
395	9827.349021
396	9815.590838
397	9800.792525
398	9786.856452
399	9775.800775
400	9760.492522
401	9747.347407
402	9738.527774
403	9723.511582
404	9705.535316
405	9692.799338
406	9676.944144
407	9665.429939
408	9654.037053
409	9642.703421
410	9632.483995
411	9615.444853
412	9599.587821
413	9588.672428
414	9574.020188
415	9559.033138
416	9548.065287
417	9535.806115
418	9524.941586
419	9512.365134
420	9500.104641
421	9487.079875
422	9472.72143
423	9458.583533
424	9444.896903
425	9433.594645
426	9422.438656
427	9411.81237
428	9399.57459
429	9391.555808
430	9380.695494
431	9370.189041
432	9359.567536
433	9347.05148
434	9335.75689
435	9322.581142
436	9314.750683
437	9306.335584
438	9293.676115
439	9278.88809
440	9267.494826
441	9255.842417
442	9245.879454
443	9235.201249
444	9228.255058
445	9218.063457
446	9208.422053
447	9194.415192
448	9183.296115
449	9172.613435
450	9161.25886
451	9149.320968
452	9136.832575
453	9128.77415
454	9121.20059
455	9110.70309
456	9097.530922
457	9087.086016
458	9079.672312
459	9071.409746
460	9060.131543
461	9050.920287
462	9042.376277
463	9031.752071
464	9018.316871
465	9010.058354
466	8997.51755
467	8987.248145
468	8975.855874
469	8962.903953
470	8951.328257
471	8941.392701
472	8933.455329
473	8923.056694
474	8912.463536
475	8901.989194
476	8890.275276
477	8876.299248
478	8864.192978
479	8855.978426
480	8845.376783
481	8832.314453
482	8824.51743
483	8815.602617
484	8805.229785
485	8794.428184
486	8784.762151
487	8775.092034
488	8766.616474
489	8756.56982
490	8747.337415
491	8736.117076
492	8727.303168
493	8717.269413
494	8707.401312
495	8697.670512
496	8689.419542
497	8680.39898
498	8670.71093
499	8660.101433
500	8650.299381
501	8639.330898
502	8631.121757
503	8622.739918
504	8611.239621
505	8602.184002
506	8593.124604
507	8580.755724
508	8571.395772
509	8561.198802
510	8548.188606
511	8536.514094
512	8527.141375
513	8517.13209
514	8508.191242
515	8499.192333
516	8490.49789
517	8480.278963
518	8469.131157
519	8459.751009
520	8450.673589
521	8444.139738
522	8433.178805
523	8427.143373
524	8417.009259
525	8408.602895
526	8400.314781
527	8390.529467
528	8380.754561
529	8371.02025
530	8360.345137
531	8349.067178
532	8340.152327
533	8331.416383
534	8324.72286
535	8314.135707
536	8306.497069
537	8299.892579
538	8289.37958
539	8279.374215
540	8271.916661
541	8262.328601
542	8255.406465
543	8245.041288
544	8239.720979
545	8231.783903
546	8219.419803
547	8209.373401
548	8204.202116
549	8195.097789
550	8186.914281
551	8177.473353
552	8170.394839
553	8162.440579
554	8151.885871
555	8144.503998
556	8137.601805
557	8126.574642
558	8118.709103
559	8109.304054
560	8099.140049
561	8090.50016
562	8082.006327
563	8075.773804
564	8063.903695
565	8054.211908
566	8044.855461
567	8035.643079
568	8027.913812
569	8018.81081
570	8012.320163
571	8001.933352
572	7993.609731
573	7984.648718
574	7974.448042
575	7966.890074
576	7959.236335
577	7953.289427
578	7944.773244
579	7934.473975
580	7925.895357
581	7918.050579
582	7910.400385
583	7902.91528
584	7895.484044
585	7887.839254
586	7877.806008
587	7872.250216
588	7866.446265
589	7857.603739
590	7851.534168
591	7843.426588
592	7836.127438
593	7830.044723
594	7821.099335
595	7810.685025
596	7803.091117
597	7796.441727
598	7787.833035
599	7781.032751
600	7772.679509
601	7767.08161
602	7760.225832
603	7750.026075
604	7742.223389
605	7737.983655
606	7729.759303
607	7722.810961
608	7713.775274
609	7706.225124
610	7696.703916
611	7689.958668
612	7683.862781
613	7679.116192
614	7674.307713
615	7663.086354
616	7655.378298
617	7645.923146
618	7636.32539
619	7628.749352
620	7621.73216
621	7614.422108
622	7607.787314
623	7599.621587
624	7594.536856
625	7588.26565
626	7579.181114
627	7572.751379
628	7567.646257
629	7561.150446
630	7556.841721
631	7548.279439
632	7542.620387
633	7534.712939
634	7527.933691
635	7521.250952
636	7512.703629
637	7504.835144
638	7495.942445
639	7488.992599
640	7478.119594
641	7473.501206
642	7468.32028
643	7459.583325
644	7450.394908
645	7442.837892
646	7435.199201
647	7428.313022
648	7423.903933
649	7418.226981
650	7411.800739
651	7406.223412
652	7397.771044
653	7391.713245
654	7386.418947
655	7381.571025
656	7371.921033
657	7364.667437
658	7357.271969
659	7349.919886
660	7343.54598
661	7335.17003
662	7326.726938
663	7320.337612
664	7313.092722
665	7307.149928
666	7301.711468
667	7293.084628
668	7284.558773
669	7275.871499
670	7267.290141
671	7260.224802
672	7253.494345
673	7247.006817
674	7238.840659
675	7233.545178
676	7224.441255
677	7219.139023
678	7212.765262
679	7206.970642
680	7200.369323
681	7192.975988
682	7185.039162
683	7178.876237
684	7170.696304
685	7165.359584
686	7159.622604
687	7152.547489
688	7144.818087
689	7139.952715
690	7134.96319
691	7129.494057
692	7123.902896
693	7116.078428
694	7110.842812
695	7102.883692
696	7096.072281
697	7090.147709
698	7082.582381
699	7076.847371
700	7071.705682
701	7066.605108
702	7060.588177
703	7052.959913
704	7046.878226
705	7041.726429
706	7036.523608
707	7029.529058
708	7022.682601
709	7015.845322
710	7011.649443
711	7004.556049
712	6997.475428
713	6991.508931
714	6984.550455
715	6979.644014
716	6971.941343
717	6966.156151
718	6960.074001
719	6951.610402
720	6945.805434
721	6937.793987
722	6931.950071
723	6926.609344
724	6920.001412
725	6915.278598
726	6908.008422
727	6902.249604
728	6896.28876
729	6889.118437
730	6881.830142
731	6876.050543
732	6869.889006
733	6864.837486
734	6859.015495
735	6853.456772
736	6849.596908
737	6844.690145
738	6839.853827
739	6833.803997
740	6826.508248
741	6821.829744
742	6816.653348
743	6810.069075
744	6806.353376
745	6800.212466
746	6792.253002
747	6787.54222
748	6783.171129
749	6776.528867
750	6770.783854
751	6765.574053
752	6760.101087
753	6754.556632
754	6750.210472
755	6744.471529
756	6738.585078
757	6733.409043
758	6726.834017
759	6722.613957
760	6719.221411
761	6713.727496
762	6707.282284
763	6699.275461
764	6694.555892
765	6688.736299
766	6682.691471
767	6677.263958
768	6673.611329
769	6667.757356
770	6664.165917
771	6658.189142
772	6652.962436
773	6644.791279
774	6639.032938
775	6633.40657
776	6628.723678
777	6623.577173
778	6617.915203
779	6611.349861
780	6606.319678
781	6602.897417
782	6596.199593
783	6589.234357
784	6581.799779
785	6576.458675
786	6571.66602
787	6567.943677
788	6560.861208
789	6555.512188
790	6549.643118
791	6544.080775
792	6538.078536
793	6533.485658
794	6527.984343
795	6520.758736
796	6515.101234
797	6509.77704
798	6504.960842
799	6498.491082
800	6494.3709
801	6489.619273
802	6482.022228
803	6476.427408
804	6470.366759
805	6465.466556
806	6459.802379
807	6454.922787
808	6450.221558
809	6444.992713
810	6439.254696
811	6435.148304
812	6430.699827
813	6424.869872
814	6420.411501
815	6415.299105
816	6411.418515
817	6407.146536
818	6401.050325
819	6396.435132
820	6392.837745
821	6387.258529
822	6381.026627
823	6375.525965
824	6372.107671
825	6365.413742
826	6361.019443
827	6356.050224
828	6351.874927
829	6346.494457
830	6342.688961
831	6336.655961
832	6332.369507
833	6327.664195
834	6322.117853
835	6317.47642
836	6311.162582
837	6306.765402
838	6302.896676
839	6295.882424
840	6291.819076
841	6287.520823
842	6283.296371
843	6279.065904
844	6274.855817
845	6269.272466
846	6264.915365
847	6260.415398
848	6254.490345
849	6248.829232
850	6242.677343
851	6239.376935
852	6233.558114
853	6227.812586
854	6223.874684
855	6217.966202
856	6212.968753
857	6210.178266
858	6203.481036
859	6198.847767
860	6194.16859
861	6188.96123
862	6184.780656
863	6180.415303
864	6173.794683
865	6169.588934
866	6164.277913
867	6160.139388
868	6154.126027
869	6151.125999
870	6145.517462
871	6139.852475
872	6135.382247
873	6131.594161
874	6126.717309
875	6121.830386
876	6118.374936
877	6111.586769
878	6106.374204
879	6102.317677
880	6097.331699
881	6093.347126
882	6088.550386
883	6085.355855
884	6080.939602
885	6076.393352
886	6069.974308
887	6066.126512
888	6062.392371
889	6058.529461
890	6054.193601
891	6050.186872
892	6045.621861
893	6041.0414
894	6037.181537
895	6034.56924
896	6030.384858
897	6026.249084
898	6020.551025
899	6016.278723
900	6011.467984
901	6007.531817
902	6002.436449
903	5998.107554
904	5993.422368
905	5989.756481
906	5984.990217
907	5980.041422
908	5976.076299
909	5972.808724
910	5969.067502
911	5964.195692
912	5959.438554
913	5955.375904
914	5952.397685
915	5947.187352
916	5943.157558
917	5937.984408
918	5934.794946
919	5931.296369
920	5927.320496
921	5922.638057
922	5917.746604
923	5914.161928
924	5910.423769
925	5907.239658
926	5903.57361
927	5899.927937
928	5895.625966
929	5891.651301
930	5887.445727
931	5883.235061
932	5879.286136
933	5875.549862
934	5872.323024
935	5867.761911
936	5862.733436
937	5859.037798
938	5853.303528
939	5850.053512
940	5846.086866
941	5842.131319
942	5838.503265
943	5834.955192
944	5830.786406
945	5828.174786
946	5825.56412
947	5820.187964
948	5817.368138
949	5813.396611
950	5809.047377
951	5803.136737
952	5799.145018
953	5795.201382
954	5790.431214
955	5786.101943
956	5781.807491
957	5778.664918
958	5774.218234
959	5771.323563
960	5766.69897
961	5762.696393
962	5758.592957
963	5753.509428
964	5749.371666
965	5746.366345
966	5742.318702
967	5738.612944
968	5733.957353
969	5730.94443
970	5725.929795
971	5722.774
972	5718.721612
973	5714.488473
974	5711.726948
975	5707.576536
976	5703.903073
977	5700.125397
978	5695.139218
979	5692.59895
980	5687.899015
981	5684.594211
982	5681.018229
983	5677.785038
984	5672.639228
985	5666.715293
986	5663.57634
987	5657.970367
988	5653.405165
989	5649.133432
990	5644.465158
991	5641.771156
992	5637.038581
993	5632.766574
994	5628.924096
995	5625.339411
996	5622.110753
997	5618.148627
998	5614.68286
999	5609.195893
1000	5604.01685
1001	5599.567785
1002	5595.114351
1003	5589.940276
1004	5586.096871
1005	5582.207829
1006	5577.325926
1007	5573.635083
1008	5569.435111
1009	5565.88828
1010	5563.009775
1011	5559.327876
1012	5556.117888
1013	5552.068528
1014	5549.558004
1015	5545.828217
1016	5541.278171
1017	5538.214446
1018	5533.889701
1019	5530.80192
1020	5526.309731
1021	5524.125583
1022	5520.382105
1023	5516.51108
1024	5513.779781
1025	5509.036954
1026	5505.275818
1027	5501.864382
1028	5497.533539
1029	5492.90842
1030	5489.439991
1031	5485.595211
1032	5480.364253
1033	5477.509871
1034	5474.218435
1035	5470.704405
1036	5468.553242
1037	5465.027039
1038	5462.429297
1039	5458.537585
1040	5454.837953
1041	5451.269884
1042	5448.211128
1043	5445.896661
1044	5442.256569
1045	5437.856643
1046	5433.197497
1047	5431.434695
1048	5428.31066
1049	5424.993611
1050	5421.165166
1051	5417.974256
1052	5414.31447
1053	5411.141717
1054	5407.392847
1055	5402.831111
1056	5399.247267
1057	5394.688248
1058	5390.414051
1059	5386.661314
1060	5383.111524
1061	5380.600097
1062	5377.117943
1063	5372.943322
1064	5368.876648
1065	5366.330236
1066	5363.781556
1067	5360.523635
1068	5356.938425
1069	5353.552315
1070	5350.890373
1071	5348.599055
1072	5345.76588
1073	5343.742249
1074	5341.14103
1075	5339.220463
1076	5336.002686
1077	5331.885934
1078	5326.19031
1079	5322.121996
1080	5318.463699
1081	5313.570121
1082	5309.708187
1083	5306.329193
1084	5304.38464
1085	5301.930634
1086	5298.152489
1087	5295.129972
1088	5292.1824
1089	5289.245385
1090	5283.833257
1091	5279.819848
1092	5275.168794
1093	5272.428827
1094	5269.141566
1095	5265.714781
1096	5262.54619
1097	5259.534605
1098	5256.122931
1099	5253.485799
1100	5249.298376
1101	5244.477564
1102	5242.480519
1103	5239.344446
1104	5236.227133
1105	5231.61356
1106	5227.372855
1107	5223.642394
1108	5220.416932
1109	5217.618133
1110	5215.146179
1111	5212.24879
1112	5208.485389
1113	5205.287863
1114	5202.68618
1115	5199.27951
1116	5196.751232
1117	5194.580089
1118	5192.903871
1119	5188.661611
1120	5184.891566
1121	5181.309415
1122	5177.565333
1123	5174.945572
1124	5171.231027
1125	5167.681387
1126	5164.18898
1127	5159.970525
1128	5157.032837
1129	5154.955039
1130	5152.804091
1131	5148.778214
1132	5145.261636
1133	5143.37471
1134	5138.519619
1135	5133.601528
1136	5131.981725
1137	5128.412218
1138	5125.592988
1139	5123.371243
1140	5118.684178
1141	5116.020304
1142	5112.762682
1143	5110.223152
1144	5106.89192
1145	5104.815807
1146	5100.799973
1147	5097.3367
1148	5093.458815
1149	5090.140832
1150	5086.807864
1151	5084.303376
1152	5081.07657
1153	5078.596071
1154	5075.506226
1155	5072.3501
1156	5069.207787
1157	5066.003151
1158	5062.871954
1159	5059.358368
1160	5055.235112
1161	5052.172264
1162	5048.4224
1163	5044.285622
1164	5040.248895
1165	5037.166281
1166	5034.061946
1167	5030.725999
1168	5026.978003
1169	5023.876365
1170	5020.313226
1171	5017.919408
1172	5015.297487
1173	5012.207833
1174	5008.930808
1175	5004.215802
1176	5000.601468
1177	4997.12374
1178	4994.650115
1179	4991.050538
1180	4988.369767
1181	4984.620865
1182	4981.150338
1183	4979.49007
1184	4976.016167
1185	4972.418773
1186	4970.060647
1187	4967.147599
1188	4965.185018
1189	4962.904212
1190	4959.516897
1191	4955.697297
1192	4952.247076
1193	4948.457671
1194	4944.974971
1195	4942.83916
1196	4940.253832
1197	4937.389531
1198	4934.987959
1199	4931.536664
1200	4928.82282
1201	4926.178315
1202	4923.703019
1203	4922.230408
1204	4917.786354
1205	4915.402456
1206	4911.500793
1207	4910.03395
1208	4908.282671
1209	4904.119413
1210	4901.033186
1211	4898.588291
1212	4895.154632
1213	4892.070733
1214	4888.437756
1215	4885.940146
1216	4882.654324
1217	4880.90804
1218	4878.373115
1219	4874.724694
1220	4872.1258
1221	4868.19134
1222	4865.637684
1223	4862.833573
1224	4859.432601
1225	4857.3604
1226	4855.09292
1227	4852.012787
1228	4849.640547
1229	4846.481608
1230	4842.551791
1231	4839.99223
1232	4836.852592
1233	4834.650449
1234	4831.682681
1235	4828.999254
1236	4826.526989
1237	4823.645677
1238	4820.64943
1239	4819.044841
1240	4816.755958
1241	4813.584432
1242	4810.235153
1243	4807.678171
1244	4803.463154
1245	4800.242546
1246	4797.74545
1247	4794.751667
1248	4792.472176
1249	4788.420594
1250	4785.84805
1251	4783.354921
1252	4780.951273
1253	4778.355529
1254	4776.095971
1255	4773.811523
1256	4771.668748
1257	4767.065989
1258	4763.293986
1259	4760.451734
1260	4757.864729
1261	4755.798124
1262	4752.134856
1263	4749.09735
1264	4745.888527
1265	4742.699463
1266	4739.912439
1267	4737.75723
1268	4735.543063
1269	4732.840541
1270	4730.713626
1271	4728.243554
1272	4726.334024
1273	4723.666022
1274	4721.232666
1275	4717.714924
1276	4715.119347
1277	4711.695629
1278	4708.037128
1279	4706.592058
1280	4704.507989
1281	4701.685867
1282	4699.447916
1283	4696.5634
1284	4694.072818
1285	4692.056253
1286	4688.128236
1287	4685.714439
1288	4683.225345
1289	4680.265577
1290	4678.102838
1291	4675.513994
1292	4673.214061
1293	4671.220347
1294	4668.366109
1295	4665.532716
1296	4663.076495
1297	4660.969221
1298	4658.311046
1299	4655.631514
1300	4653.339768
1301	4650.876274
1302	4648.870194
1303	4646.221875
1304	4643.922689
1305	4641.065174
1306	4639.889432
1307	4637.099382
1308	4633.960844
1309	4631.516752
1310	4629.319017
1311	4626.920437
1312	4625.352073
1313	4622.363461
1314	4619.861202
1315	4617.154129
1316	4614.552892
1317	4611.486724
1318	4608.982185
1319	4606.420308
1320	4604.167881
1321	4599.342577
1322	4597.385392
1323	4595.102965
1324	4592.532065
1325	4590.278345
1326	4588.255989
1327	4586.236252
1328	4583.342295
1329	4579.822337
1330	4576.660734
1331	4574.023209
1332	4571.666091
1333	4569.754065
1334	4567.814832
1335	4565.889042
1336	4562.534255
1337	4560.658058
1338	4557.575071
1339	4555.59395
1340	4553.022961
1341	4550.816847
