iter	RMSE
0	2.486869727
1	2.426824485
2	2.368912773
3	2.310676851
4	2.261755806
5	2.2089804
6	2.153599474
7	2.107236134
8	2.057085776
9	2.007872309
10	1.959668335
11	1.916488593
12	1.872598551
13	1.828881702
14	1.788777292
15	1.747296064
16	1.706718726
17	1.667380786
18	1.630227302
19	1.593122796
20	1.558724977
21	1.524623652
22	1.493489492
23	1.461794628
24	1.42798936
25	1.397664334
26	1.367906423
27	1.338965498
28	1.313791706
29	1.284353048
30	1.257460702
31	1.232484152
32	1.207793257
33	1.182780842
34	1.159708037
35	1.137266902
36	1.11585931
37	1.096091112
38	1.075812068
39	1.054413585
40	1.034486153
41	1.01518228
42	0.9966343331
43	0.9794876894
44	0.9618399891
45	0.944370357
46	0.9283445649
47	0.9126809446
48	0.8968375197
49	0.8828667381
50	0.869688772
51	0.8557775656
52	0.8432792868
53	0.8291873364
54	0.8162340991
55	0.8036472613
56	0.7915750536
57	0.7807146467
58	0.7709443672
59	0.7592483789
60	0.7492910142
61	0.738933682
62	0.728442609
63	0.7189684517
64	0.7097353303
65	0.7004323936
66	0.6914306221
67	0.6835101187
68	0.6750394676
69	0.6657002129
70	0.6571553534
71	0.6493470518
72	0.642614823
73	0.635450558
74	0.6284212667
75	0.621414093
76	0.6145844065
77	0.6088653538
78	0.6031800348
79	0.5970527744
80	0.5916391297
81	0.5857768349
82	0.5802307406
83	0.5753973561
84	0.5705446543
85	0.5657938637
86	0.5606948476
87	0.5564476473
88	0.5516785294
89	0.5472020107
90	0.5429962099
91	0.5386572392
92	0.5353919518
93	0.5315484442
94	0.5277106019
95	0.5237307354
96	0.5204565726
97	0.5165522511
98	0.5132366413
99	0.509362096
100	0.5060588129
101	0.5022468221
102	0.4994608444
103	0.4966231958
104	0.4937045139
105	0.4909215072
106	0.4885593853
107	0.4863213083
108	0.4840538438
109	0.4817142834
110	0.4794053058
111	0.4765780495
112	0.4741747649
113	0.4723569273
114	0.470813255
115	0.4689614025
116	0.4665395191
117	0.4648883847
118	0.4634945623
119	0.4620011357
120	0.4602832519
121	0.4584302949
122	0.4564265386
123	0.4545108633
124	0.4527528804
125	0.4515223085
126	0.4501443623
127	0.4490979721
128	0.4478434635
129	0.4462205506
130	0.4445894127
131	0.4434385115
132	0.4420472594
133	0.4407346451
134	0.4393298518
135	0.4382477735
136	0.4369204523
137	0.4359835579
138	0.435016637
139	0.4340078178
140	0.4329919751
141	0.4317961661
142	0.4308131998
143	0.4298157974
144	0.4289628625
145	0.4278063705
146	0.4270209174
147	0.426052009
148	0.4252387574
149	0.4246346607
150	0.4239277766
151	0.4232576255
152	0.4225730075
153	0.4214224028
154	0.4205575555
155	0.4197564575
156	0.4189802888
157	0.4182493291
158	0.4173469392
159	0.4165458442
160	0.4160418016
161	0.4153848298
162	0.4147219619
163	0.4140163947
164	0.4134484642
165	0.4127999589
166	0.4119412137
167	0.4115936412
168	0.411206633
169	0.4110282325
170	0.4103599013
171	0.4100011783
172	0.4092340176
173	0.4085937566
174	0.4078513938
175	0.4071578057
176	0.4065939149
177	0.406361922
178	0.4057605154
179	0.4051521284
180	0.404634844
181	0.4041523019
182	0.4037278329
183	0.4032698362
184	0.4027727179
185	0.4021242142
186	0.4014524925
187	0.4006543295
188	0.4002509208
189	0.3998305321
190	0.3996013179
191	0.3991064753
192	0.3985723124
193	0.3980010573
194	0.3978932273
195	0.3974886102
196	0.3969969087
197	0.3967850563
198	0.3964119259
199	0.3960492011
200	0.3957218114
201	0.3953238833
202	0.394931538
203	0.3947596694
204	0.3942902122
205	0.3939280059
206	0.3934461043
207	0.3930213327
208	0.3925820749
209	0.3923385972
210	0.3918437049
211	0.3913568614
212	0.3910675566
213	0.3906083959
214	0.3905096617
215	0.3900730096
216	0.3897026151
217	0.3894271364
218	0.3892172204
219	0.3887566932
220	0.3885420494
221	0.3882728715
222	0.3878035734
223	0.3873621361
224	0.3871349181
225	0.3867476474
226	0.3863767443
227	0.3859724713
228	0.3856778583
229	0.3855253305
230	0.3853425436
231	0.3850253177
232	0.3848756261
233	0.3847425733
234	0.3843767588
235	0.3838913835
236	0.3834800701
237	0.3830672681
238	0.38275888
239	0.3824423131
240	0.382208796
241	0.3820727376
242	0.3817694615
243	0.381431337
244	0.3811453878
245	0.3807915553
246	0.380547387
247	0.3802617672
248	0.3798876861
249	0.3794989934
250	0.379153622
251	0.3788744609
252	0.3785596093
253	0.3783052843
254	0.3781538206
255	0.3777936119
256	0.3774668963
257	0.3772491423
258	0.3770699861
259	0.3768583987
260	0.3764515524
261	0.3761728355
262	0.3759490033
263	0.3756887711
264	0.3754625908
265	0.3753158365
266	0.375119168
267	0.3748078967
268	0.3746640628
269	0.374379546
270	0.3740442244
271	0.3737565876
272	0.3734895131
273	0.3732052398
274	0.3727806632
275	0.3724862502
276	0.3721468025
277	0.3720392551
278	0.3718517088
279	0.3717008883
280	0.3715676799
281	0.371384055
282	0.3712771042
283	0.3710914602
284	0.3708316967
285	0.3705743165
286	0.3702900231
287	0.3701508229
288	0.3700189193
289	0.3698965428
290	0.3697119639
291	0.3694339402
292	0.3692111567
293	0.3689835765
294	0.368725889
295	0.3685021765
296	0.3683326044
297	0.3678901941
298	0.3676646875
299	0.3675502169
300	0.3673641092
301	0.3670502786
302	0.3667227938
303	0.3662614168
304	0.3660424463
305	0.3659291459
306	0.3657727617
307	0.3655920111
308	0.3654870943
309	0.3652031514
310	0.36499334
311	0.3647351344
312	0.3645695437
313	0.3643349844
314	0.3640439817
315	0.3638239366
316	0.3637314709
317	0.3633660136
318	0.3631782497
319	0.3630794452
320	0.3627897786
321	0.36267079
322	0.362313154
323	0.3621210094
324	0.3619318182
325	0.3615736016
326	0.3613248836
327	0.3612261351
328	0.3610624535
329	0.3609350251
330	0.3608665873
331	0.3607136461
332	0.3605820164
333	0.3603657661
334	0.360221569
335	0.3600439451
336	0.35981988
337	0.3595603328
338	0.3594472806
339	0.359279834
340	0.3590531096
341	0.3588695419
342	0.3585542363
343	0.3583717008
344	0.3580507287
345	0.3578285069
346	0.3577653137
347	0.3575199294
348	0.3573412163
349	0.3572006568
350	0.356980817
351	0.3568462995
352	0.3566475876
353	0.356472279
354	0.356301103
355	0.3559990726
356	0.3558192417
357	0.3557173875
358	0.3556123403
359	0.3554702934
360	0.3553241063
361	0.3552611688
362	0.355068429
363	0.3548582324
364	0.3546936011
365	0.3545489344
366	0.3544100279
367	0.3543312858
368	0.3541128614
369	0.3539157075
370	0.3537969362
371	0.3537202948
372	0.353600914
373	0.3534485462
374	0.3531874492
375	0.3530206785
376	0.3529354715
377	0.3527714298
378	0.3526845064
379	0.3525532939
380	0.3524702476
381	0.3523887174
382	0.3522971441
383	0.3521610091
384	0.3518822218
385	0.3516169888
386	0.3514268397
