iter	RMSE
0	2.275584478
1	2.257534205
2	2.240910431
3	2.222628623
4	2.208709183
5	2.192570529
6	2.175977315
7	2.16033929
8	2.144150388
9	2.128555895
10	2.111461294
11	2.098661672
12	2.084094561
13	2.068624839
14	2.052682772
15	2.037581749
16	2.02516996
17	2.012316133
18	1.997764368
19	1.98179614
20	1.967682549
21	1.95404817
22	1.940096646
23	1.926994446
24	1.913628458
25	1.900487139
26	1.885931925
27	1.873123505
28	1.859778761
29	1.845658279
30	1.83210766
31	1.818542246
32	1.804825274
33	1.791809715
34	1.779032972
35	1.766535752
36	1.754838235
37	1.741609002
38	1.72879469
39	1.71651547
40	1.702361104
41	1.690108175
42	1.678008992
43	1.667247296
44	1.655034325
45	1.643119191
46	1.631835777
47	1.620208232
48	1.608142452
49	1.598943097
50	1.587946815
51	1.576916014
52	1.566035548
53	1.554940401
54	1.54588583
55	1.534727971
56	1.523692776
57	1.513742925
58	1.503016565
59	1.492017321
60	1.480581232
61	1.469790679
62	1.459688615
63	1.44939588
64	1.43931488
65	1.429147863
66	1.418964763
67	1.409820943
68	1.399503506
69	1.388193486
70	1.37874998
71	1.369003902
72	1.359597924
73	1.349827359
74	1.341059963
75	1.33112544
76	1.322214226
77	1.31274286
78	1.304683109
79	1.295860997
80	1.287084906
81	1.27907263
82	1.270675215
83	1.262425835
84	1.254825023
85	1.246372391
86	1.237362808
87	1.229855041
88	1.221130089
89	1.212615463
90	1.204035378
91	1.196257644
92	1.188429747
93	1.180085119
94	1.1718855
95	1.164407807
96	1.155911775
97	1.147828252
98	1.139856406
99	1.132411978
100	1.125047462
101	1.117905779
102	1.110443424
103	1.102889543
104	1.095756458
105	1.08866099
106	1.081424239
107	1.074199657
108	1.067319531
109	1.060345916
110	1.053698303
111	1.046884307
112	1.04032535
113	1.034571571
114	1.028411027
115	1.022276412
116	1.016296037
117	1.010195224
118	1.003354223
119	0.9970442203
120	0.9897856648
121	0.9830777761
122	0.9762343929
123	0.9711073296
124	0.964598281
125	0.9581264875
126	0.9523451513
127	0.9458587585
128	0.9398403902
129	0.934379146
130	0.9285412763
131	0.9225237056
132	0.9168498124
133	0.911238355
134	0.9051281664
135	0.8995425389
136	0.8938564214
137	0.8883225816
138	0.8828794907
139	0.8769102387
140	0.8712959213
141	0.8663084109
142	0.861054999
143	0.8559300233
144	0.8515934367
145	0.8474883765
146	0.8425142737
147	0.837528143
148	0.8321123797
149	0.8274189839
150	0.8226794662
151	0.8180838614
152	0.8139435693
153	0.8086068022
154	0.8040201722
155	0.7994644707
156	0.7951029733
157	0.7904761155
158	0.785594338
159	0.7812178105
160	0.776205851
161	0.7712245223
162	0.767383984
163	0.7623721011
164	0.7576784324
165	0.7535171047
166	0.7491016723
167	0.7443109967
168	0.7399455485
169	0.7353239378
170	0.7309140313
171	0.7270977057
172	0.7228759165
173	0.7189118258
174	0.7147587749
175	0.7109865734
176	0.7069110389
177	0.7023059802
178	0.6983642897
179	0.6945310576
180	0.6906479511
181	0.6868202208
182	0.6831437941
183	0.6793259799
184	0.67573008
185	0.671844004
186	0.6676950169
187	0.6637623799
188	0.6598824542
189	0.6558106355
190	0.6522758852
191	0.6487136442
192	0.6452309536
193	0.6415738805
194	0.6384016234
195	0.6345350392
196	0.6310632126
197	0.6277216622
198	0.6245035936
199	0.6212864001
200	0.6173416173
201	0.6141403386
202	0.611015099
203	0.6075411865
204	0.6042834433
205	0.6010801569
206	0.5982888635
207	0.5953133414
208	0.5920837687
209	0.588630953
210	0.5853309236
211	0.5825006437
212	0.5795803369
213	0.576487982
214	0.5736599379
215	0.5706360692
216	0.5676920315
217	0.5650639036
218	0.5624040364
219	0.5600352573
220	0.5570712213
221	0.5547681456
222	0.5521632031
223	0.5492988463
224	0.5468149804
225	0.5445114464
226	0.5417944509
227	0.5391430906
228	0.5367698951
229	0.5342748683
230	0.5318618011
231	0.5294386521
232	0.5270084113
233	0.5244879349
234	0.5226990708
235	0.5204479347
236	0.5177580251
237	0.5153323312
238	0.5131456607
239	0.5108947362
240	0.5086465663
241	0.5061991411
242	0.5040572294
243	0.5015722304
244	0.4992223599
245	0.497254539
246	0.4954326934
247	0.493109057
248	0.4908434964
249	0.4888120406
250	0.4867878678
251	0.4847073173
252	0.4826708488
253	0.4803655754
254	0.4780176116
255	0.4758668778
256	0.4739197299
257	0.4723483116
258	0.4703476604
259	0.468389105
260	0.4663004705
261	0.4642960938
262	0.4621999646
263	0.4602996028
264	0.4583186125
265	0.4561890616
266	0.4543387411
267	0.4527782993
268	0.4508683723
269	0.4489041986
270	0.4473689432
271	0.4456220119
272	0.4436872051
273	0.4417704622
274	0.4398738644
275	0.4380880187
276	0.4362692816
277	0.4348334304
278	0.4330029157
279	0.4313680221
280	0.4295147013
281	0.4278598836
282	0.4261256161
283	0.4246901048
284	0.4230022377
285	0.4216095136
286	0.4200871595
287	0.4182975028
288	0.4171062311
289	0.4153458962
290	0.4137042133
291	0.412258787
292	0.4109327357
293	0.4092624103
294	0.407792549
295	0.4063307051
296	0.4050402315
297	0.4036063787
298	0.4021828788
299	0.4010107783
300	0.3998939628
301	0.3989514111
302	0.3976004516
303	0.3961881167
304	0.3948596473
305	0.3936061566
306	0.3920391006
307	0.390503407
308	0.3891755645
309	0.3879397633
310	0.3864420594
311	0.3852258118
312	0.3839582221
313	0.3825865173
314	0.3813439379
315	0.380150614
316	0.3787899542
317	0.3775124812
318	0.3761887187
319	0.375230612
320	0.3741317681
321	0.3728383566
322	0.371671447
323	0.3703377327
324	0.3691537146
325	0.3680345136
326	0.3668736478
327	0.3656096246
328	0.3643144026
329	0.3629182633
330	0.3616940268
331	0.3605027463
332	0.3591826457
333	0.3581578994
334	0.3571016474
335	0.3558164491
336	0.3549398341
337	0.354012496
338	0.352910373
339	0.3518276037
340	0.3507347711
341	0.3499795989
342	0.3488784799
343	0.3477633221
344	0.3466085586
345	0.3455712516
346	0.3445709058
347	0.3435865081
348	0.3427212139
349	0.3416377614
350	0.3407519818
351	0.3398667114
352	0.33877755
353	0.3378686055
354	0.3368951824
355	0.3360346518
356	0.3350797619
357	0.3341368509
358	0.3330863543
359	0.332130952
360	0.3313638894
361	0.3304309712
362	0.3293971283
363	0.3284599089
364	0.3273363102
365	0.3264287712
366	0.3255728746
367	0.3245756283
368	0.3237686258
369	0.3227535023
370	0.3218247959
371	0.3210592265
372	0.3201712503
373	0.3194073348
374	0.3185679253
375	0.3177908976
376	0.316866295
377	0.3161083342
378	0.315298604
379	0.3145738742
380	0.3139919076
381	0.3130918732
382	0.3123199049
383	0.3115707266
384	0.310841306
385	0.3100422525
386	0.3090966917
387	0.3083719638
388	0.3076627149
389	0.3068632943
390	0.3059670324
391	0.3053551319
392	0.3046636167
393	0.30397324
394	0.3032512446
395	0.3025874701
396	0.3018637386
397	0.3011720254
398	0.3005562308
399	0.2999402995
400	0.2992716969
401	0.2986175435
402	0.2979477555
403	0.2972609409
404	0.2965599804
405	0.2957834242
406	0.2950863801
407	0.2945057054
408	0.2936804872
409	0.2931085776
410	0.2924226106
411	0.2918505941
412	0.291236826
413	0.2905359902
414	0.2897792827
415	0.2890553304
416	0.2883706785
417	0.287665903
418	0.2871700372
419	0.2865329299
420	0.2859707383
421	0.2854400597
422	0.284903421
423	0.2842895099
424	0.2834527188
425	0.2827557484
426	0.2821690983
427	0.281534249
428	0.2810888657
429	0.2804860719
430	0.2798747268
431	0.2794591411
432	0.2788472546
433	0.2783359155
434	0.2776971763
435	0.2770254249
436	0.2765521338
437	0.2759904536
438	0.2754610844
439	0.2748521436
440	0.2743315419
441	0.2738434144
442	0.2734157787
443	0.2725845465
444	0.2721599106
445	0.2717082268
446	0.2711615986
447	0.270777965
448	0.2701451132
449	0.2698310704
450	0.2693559604
451	0.2685889124
452	0.2681258319
453	0.2675835058
454	0.2670117402
455	0.2663877975
456	0.2658844645
457	0.2654348284
458	0.2649413485
459	0.2644919873
460	0.2639534371
461	0.2633685245
462	0.2630119438
463	0.2626052856
464	0.2622237573
465	0.2618324288
466	0.2613997454
467	0.2607933045
468	0.2602637827
469	0.2598446023
470	0.2594086624
471	0.2589971697
472	0.2585361436
473	0.2580127506
474	0.2576074747
475	0.2570914467
476	0.2566623744
477	0.256239659
478	0.2557463462
479	0.2553389386
480	0.2549108818
481	0.2546257834
482	0.2541748369
483	0.2537689619
484	0.2533058023
485	0.252917518
486	0.2523600319
487	0.2520387819
488	0.251636702
489	0.2512506578
490	0.2509229971
491	0.2504282343
492	0.2500300516
493	0.2495250743
494	0.2490554914
495	0.2486178818
496	0.2483861124
497	0.2479609827
498	0.2474798053
499	0.2471781108
500	0.2468361328
501	0.2463066478
502	0.2459791512
503	0.2456279797
504	0.2450205925
505	0.2446912462
506	0.244593455
507	0.2441469143
508	0.243769027
509	0.2432920357
510	0.2429218405
511	0.242557038
512	0.2422025093
513	0.2418391368
514	0.2413991547
515	0.240925209
516	0.240576142
517	0.240058467
518	0.2397451994
519	0.2392512953
520	0.2387870876
521	0.2383522569
522	0.238094397
523	0.2378990346
524	0.2375453499
525	0.2372238081
526	0.2370133254
527	0.2367487272
528	0.2364630728
529	0.2360141093
530	0.2358611454
531	0.2355409181
532	0.2352853488
533	0.2349255558
534	0.2345611612
535	0.2341253243
536	0.2336910671
537	0.233325446
538	0.2330406423
539	0.2327285187
540	0.2323859334
541	0.2321365808
542	0.2318455383
543	0.2315298386
544	0.2312179745
545	0.2308695179
546	0.2304523061
547	0.2300750383
548	0.2298284447
549	0.229486107
550	0.2291605425
551	0.2287955032
552	0.2285407471
553	0.2282726353
554	0.227791887
555	0.2273232525
556	0.226949551
557	0.2266599156
558	0.2264995452
559	0.2262173313
560	0.2259136125
561	0.2256332128
562	0.2252954584
563	0.2250284607
564	0.2246663325
565	0.2243679564
566	0.2241200595
567	0.2238614875
568	0.2235935812
569	0.2233140565
570	0.222905835
571	0.2226834084
572	0.2223748647
573	0.2218853187
574	0.221470924
575	0.2209946104
576	0.2205899404
577	0.2202270264
578	0.2199646022
579	0.2196473989
580	0.219331877
581	0.2191156871
582	0.2188454359
583	0.2185542659
584	0.2183011641
585	0.2180353772
586	0.2177732595
587	0.2174552259
588	0.2172039327
589	0.2169069775
590	0.2166638557
591	0.2163302524
592	0.2160637629
593	0.2158149192
594	0.2155508477
595	0.2152431948
596	0.2149107273
597	0.214630022
598	0.2142658591
599	0.213996936
600	0.21379234
601	0.2135202739
602	0.213249315
603	0.2130239829
604	0.2127497348
605	0.2123256615
606	0.2120595275
607	0.2118528068
608	0.2116032956
609	0.2113775161
610	0.2110431648
611	0.2108191073
612	0.2104644349
613	0.2102584064
614	0.210044832
615	0.2097230622
616	0.2095119825
617	0.2092408158
618	0.2089058808
619	0.2088024392
620	0.2084665991
621	0.2081646796
622	0.2079276174
623	0.2076192803
624	0.207316152
625	0.2068894735
626	0.2065391769
627	0.2061896292
628	0.2058318368
629	0.2056328783
630	0.2054461708
631	0.205309767
632	0.2051489853
633	0.2049474541
634	0.2047008514
635	0.2044783384
636	0.2042865584
637	0.2040480058
638	0.2038354574
639	0.203602128
640	0.2033134723
641	0.2031327712
