iter	RMSE
0	0.6414958112
1	0.6344476137
2	0.6273643179
3	0.6209488138
4	0.6145494139
5	0.6083632463
6	0.6024717827
7	0.5972131442
8	0.5914567599
9	0.5862041051
10	0.581238303
11	0.5767453057
12	0.571645025
13	0.566675068
14	0.5626365179
15	0.5576563442
16	0.5533194005
17	0.5488808769
18	0.5449533143
19	0.5414049931
20	0.5370591507
21	0.5333699902
22	0.5299502614
23	0.5275488221
24	0.523974801
25	0.5204785746
26	0.5178292839
27	0.5149878202
28	0.5126367262
29	0.5100972572
30	0.5075700582
31	0.5049340578
32	0.5021088285
33	0.4999209137
34	0.4970495307
35	0.4948640794
36	0.4923553863
37	0.4897866423
38	0.4868140283
39	0.4850035904
40	0.4827276503
41	0.480746977
42	0.4778035409
43	0.4752443603
44	0.4731826809
45	0.4715760921
46	0.470029414
47	0.4677071686
48	0.4655072372
49	0.4635220673
50	0.4620745263
51	0.4602205797
52	0.4584387606
53	0.4566926333
54	0.4552681177
55	0.4535484712
56	0.4523429808
57	0.4510159478
58	0.4499939612
59	0.4485408475
60	0.4474409539
61	0.4458204923
62	0.4445746798
63	0.443262104
64	0.4417846631
65	0.4407598577
66	0.4397328071
67	0.4381096371
68	0.4372470383
69	0.4360223807
70	0.4348059628
71	0.4326436148
72	0.4319336522
73	0.4303209957
74	0.4288740948
75	0.4273289624
76	0.4260838996
77	0.4247393031
78	0.4233513172
79	0.4222776906
80	0.4213162225
81	0.4202732349
82	0.418981631
83	0.4178935458
84	0.4169871011
85	0.4160675568
86	0.415413048
87	0.41485025
88	0.4136214138
89	0.413159482
90	0.4117649744
91	0.4104822546
92	0.4091066452
93	0.4083935649
94	0.4074816156
95	0.4063705058
96	0.4054859771
97	0.4045447315
98	0.4034234966
99	0.4023919558
100	0.4014297699
101	0.4009638618
102	0.4004145339
103	0.3991038684
104	0.3986405761
105	0.397771543
106	0.3961684705
107	0.3956225233
108	0.3950070879
109	0.3943720234
110	0.3934716198
111	0.3932278308
112	0.3923075195
113	0.3917126003
114	0.3908178972
115	0.3900059323
116	0.3888539334
117	0.3884131973
118	0.3879810989
119	0.3870387536
120	0.3862654255
121	0.3853900325
122	0.385134555
123	0.3847071384
