iter	RMSE
0	2.436151997
1	2.429922157
2	2.423586161
3	2.417080594
4	2.410481863
5	2.403899353
6	2.397299466
7	2.39121025
8	2.385556472
9	2.378893175
10	2.372481578
11	2.365657451
12	2.359664599
13	2.354171682
14	2.347958452
15	2.341396688
16	2.334775081
17	2.327934195
18	2.320985109
19	2.314786084
20	2.308563226
21	2.302573411
22	2.296246722
23	2.289653318
24	2.283358511
25	2.277314914
26	2.271644911
27	2.265381298
28	2.259281821
29	2.253102898
30	2.246765772
31	2.241043437
32	2.234838598
33	2.229378628
34	2.223714996
35	2.217889225
36	2.211992029
37	2.205637559
38	2.200493403
39	2.194512028
40	2.188531072
41	2.182618742
42	2.176478826
43	2.170058095
44	2.164863617
45	2.159382728
46	2.15329329
47	2.147612474
48	2.142321301
49	2.136669136
50	2.131080566
51	2.125271767
52	2.11932019
53	2.113179258
54	2.107181801
55	2.10129905
56	2.095428584
57	2.0904226
58	2.0846954
59	2.079329699
60	2.073816247
61	2.067955645
62	2.062154412
63	2.056590048
64	2.051266048
65	2.045799621
66	2.040598361
67	2.035145922
68	2.030368299
69	2.024655331
70	2.019550137
71	2.014171654
72	2.009133829
73	2.004394534
74	1.998826842
75	1.993415325
76	1.988530555
77	1.983497126
78	1.978673579
79	1.973604435
80	1.969257847
81	1.964292687
82	1.959015804
83	1.953888107
84	1.948476735
85	1.943192436
86	1.937795351
87	1.932948587
88	1.927880632
89	1.923022165
90	1.918618183
91	1.914050285
92	1.909333464
93	1.904189526
94	1.899219806
95	1.894025051
96	1.888878913
97	1.883786049
98	1.879077707
99	1.873692532
100	1.868595689
101	1.863745603
102	1.859466696
103	1.854322942
104	1.849532567
105	1.844569895
106	1.840113846
107	1.83523136
108	1.830412312
109	1.825779942
110	1.821641531
111	1.817318956
112	1.812514968
113	1.807962477
114	1.803631473
115	1.79893564
116	1.794646166
117	1.789746914
118	1.784858481
119	1.780360797
120	1.775534326
121	1.771251083
122	1.767094791
123	1.762366667
124	1.757711459
125	1.75370401
126	1.749275336
127	1.744746953
128	1.739929366
129	1.735173719
130	1.730818565
131	1.726351131
132	1.72226218
133	1.717439203
134	1.712982237
135	1.708499642
136	1.704385854
137	1.700338316
138	1.695654957
139	1.691002257
140	1.686538233
141	1.682400346
142	1.677810602
143	1.673421236
144	1.668739662
145	1.66396443
146	1.659626453
147	1.65545154
148	1.651484496
149	1.647454374
150	1.64335577
151	1.639404084
152	1.635552134
153	1.631598852
154	1.627122529
155	1.622657933
156	1.618659177
157	1.61425647
158	1.610312512
159	1.606418948
160	1.602599127
161	1.599062174
162	1.594747561
163	1.590859818
164	1.586952927
165	1.582604007
166	1.579176747
