iter	Passed	Remaining
0	1	52188
1	1	49936
2	2	49453
3	3	48815
4	4	48774
5	6	51202
6	7	53732
7	8	54633
8	9	54433
9	10	53925
10	12	55839
11	13	54824
12	14	55287
13	15	54807
14	16	54205
15	17	53621
16	18	53166
17	19	52802
18	19	52331
19	20	52038
20	21	51800
21	22	51465
22	23	51363
23	24	51253
24	25	50978
25	26	50758
26	27	50630
27	28	50467
28	29	50332
29	30	50271
30	31	50244
31	32	50146
32	33	49988
33	33	49927
34	35	50303
35	36	50926
36	37	50937
37	38	50890
38	39	50860
39	41	51352
40	42	51307
41	43	51376
42	44	51309
43	45	51199
44	45	51057
45	46	50961
46	47	50840
47	48	50743
48	49	50659
49	50	50549
50	51	50453
51	52	50411
52	53	50306
53	54	50374
54	55	50333
55	56	50277
56	57	50201
57	58	50145
58	59	50106
59	60	50032
60	61	49941
61	61	49885
62	62	49813
63	64	49951
64	65	50129
65	66	50204
66	67	50267
67	68	50317
68	69	50633
69	71	50735
70	72	50674
71	72	50613
72	73	50554
73	74	50470
74	75	50413
75	76	50371
76	77	50320
77	78	50298
78	79	50240
79	80	50190
80	81	50122
81	82	50054
82	83	50037
83	84	49992
84	85	49936
85	85	49898
86	86	49853
87	87	49808
88	88	49760
89	89	49728
90	90	49693
91	91	49656
92	92	49624
93	94	49999
94	95	50088
95	96	50133
96	97	50182
97	98	50174
98	99	50387
99	101	50422
100	101	50363
101	102	50324
102	103	50270
103	104	50245
104	105	50220
105	106	50171
106	107	50137
107	108	50096
108	109	50057
109	111	50421
110	113	51222
111	116	51736
112	117	51898
113	118	51841
114	119	51811
115	120	51766
116	121	51722
117	122	51731
118	123	51885
119	124	51923
120	126	51954
121	127	51970
122	128	51988
123	129	52015
124	130	52041
125	131	52009
126	132	51964
127	133	51920
128	134	51880
129	135	51856
130	136	51817
131	137	51806
132	138	51766
133	138	51723
134	140	51724
135	140	51688
136	141	51649
137	142	51596
138	143	51557
139	144	51509
140	145	51480
141	146	51459
142	147	51434
143	148	51398
144	149	51368
145	150	51340
146	151	51308
147	152	51416
148	153	51458
149	154	51475
150	155	51468
151	156	51465
152	158	51599
153	159	51652
154	160	51633
155	161	51595
156	162	51571
157	163	51544
158	164	51525
159	165	51484
160	166	51459
161	167	51436
162	168	51414
163	169	51396
164	170	51363
165	170	51323
166	171	51284
167	172	51259
168	173	51233
169	174	51203
170	175	51175
171	176	51161
172	177	51130
173	178	51106
174	179	51075
175	180	51054
176	181	51225
177	183	51278
178	184	51298
179	185	51307
180	186	51326
181	187	51370
182	188	51419
183	189	51405
184	190	51375
185	191	51344
186	192	51321
187	193	51275
188	194	51253
189	195	51215
190	196	51192
191	197	51169
192	198	51155
193	199	51139
194	200	51124
195	201	51097
196	202	51073
197	202	51047
198	203	51024
199	204	50997
200	205	50981
201	206	50951
202	207	50922
203	208	50907
204	209	50878
205	210	50862
206	211	50983
207	213	51028
208	214	51036
209	215	51028
210	216	51008
211	217	51113
212	218	51184
213	219	51165
214	220	51145
215	221	51129
216	222	51117
217	223	51102
218	224	51088
219	225	51068
220	226	51033
221	227	51012
222	228	50999
223	229	50987
224	230	50969
225	231	50951
226	232	50926
227	233	50913
228	234	50894
229	235	50873
230	236	50847
231	236	50828
232	237	50807
233	238	50790
234	240	50848
235	241	50897
236	242	50891
237	243	50920
238	244	50931
239	245	50971
240	247	51012
241	248	51040
242	249	51009
243	250	51001
244	251	50987
245	252	50968
246	252	50958
247	253	50945
248	254	50940
249	255	50926
250	256	50918
251	257	50908
252	258	50900
