ID,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,Hf,Re,V,B,N,O,S,Homo,Normal,Temper1,Temper2,Temper3,AGS No.,AGS,TT Temp,YS,UTS,Elong,RA,CT Temp,CS,RT,EL,RA_2,MCR,0.1% CS,0.2% CS,0.5% CS,1.0% CS,2.0% CS,5.0% CS,TTC
1,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,1,1150,700,,,6.5,,23.9,848,1011,24,61,,,,,,,,,,,,,
1,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,1,1150,700,,,6.5,,23.9,836,993,26,66,,,,,,,,,,,,,
1,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,1,1150,700,,,6.5,,100,801,942,23,67,,,,,,,,,,,,,
1,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,1,1150,700,,,6.5,,100,800,941,23,63,,,,,,,,,,,,,
1,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,1,1150,700,,,6.5,,150,785,914,20,65,,,,,,,,,,,,,
1,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,1,1150,700,,,6.5,,200,769,887,19,64,,,,,,,,,,,,,
1,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,1,1150,700,,,6.5,,250,759,872,22,68,,,,,,,,,,,,,
1,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,1,1150,700,,,6.5,,300,744,849,18,60,,,,,,,,,,,,,
1,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,1,1150,700,,,6.5,,350,731,835,18,67,,,,,,,,,,,,,
1,85.44,0.15,9.833,0.406,0.087,0.27,1.479,1.262,0.482,0.056,0.016,0.001,0.003,,0.279,,,0.209,0.01,0.02,0.0036,0.005,1,1150,700,,,6.5,,400,708,803,17,61,,,,,,,,,,,,,
