iter	RMSE
0	35009.98383
1	34638.48883
2	34345.35444
3	34086.64209
4	33844.68869
5	33504.16532
6	33241.01943
7	32977.92283
8	32696.53861
9	32344.82687
10	32100.61682
11	31908.24245
12	31690.31164
13	31485.07486
14	31246.83328
15	31014.75192
16	30782.75153
17	30556.89965
18	30346.83551
19	30083.26676
20	29915.18817
21	29747.06958
22	29472.54024
23	29274.29296
24	29152.26718
25	28942.25607
26	28712.68123
27	28574.48243
28	28358.62092
29	28182.08529
30	27977.70432
31	27823.06021
32	27566.9658
33	27408.03882
34	27244.72807
35	27061.324
36	26899.46883
37	26739.12358
38	26572.70634
39	26389.74129
40	26230.23234
41	26049.43048
42	25881.31588
43	25766.60807
44	25665.65426
45	25579.00424
46	25454.78023
47	25331.62466
48	25247.61352
49	25103.74877
50	25016.4745
51	24858.33957
52	24709.57602
53	24602.90924
54	24464.36528
55	24314.52437
56	24214.02323
57	24061.47343
58	23933.84488
59	23821.54339
60	23706.07265
61	23512.01287
62	23419.30953
63	23320.52006
64	23138.91174
65	23036.38292
66	22930.86332
67	22809.55541
68	22763.44548
69	22674.56378
70	22645.29899
71	22528.2382
72	22398.96016
73	22314.14489
74	22252.83111
75	22157.72863
76	22034.87727
77	21988.68814
78	21916.15752
79	21826.15609
80	21699.27589
81	21612.60195
82	21534.90269
83	21429.3964
84	21343.3332
85	21240.40421
86	21136.50897
87	21032.58731
88	20952.34466
89	20895.47021
90	20818.39123
91	20735.53457
92	20696.35871
93	20601.68044
94	20563.43772
95	20499.36807
96	20458.59407
97	20378.94297
98	20282.14806
99	20196.36245
100	20114.79624
101	20049.40372
102	19975.60655
103	19952.73215
104	19919.35049
105	19850.47285
106	19795.08515
107	19760.77585
108	19706.1078
109	19625.92824
110	19522.29627
111	19484.96326
112	19418.73769
113	19335.20633
114	19290.12846
115	19238.88644
116	19227.18543
117	19136.00609
118	19059.04243
119	19006.2679
120	18970.02411
121	18878.26136
122	18850.4697
123	18773.19439
124	18735.72286
125	18689.48552
126	18622.82927
127	18617.46511
128	18584.53896
129	18561.5587
130	18513.00488
131	18433.05411
132	18380.41224
133	18311.05016
134	18222.03035
135	18143.71128
136	18067.09738
137	18022.29008
138	17983.15968
139	17908.5989
140	17871.34249
141	17791.36306
142	17693.6113
143	17658.64947
144	17623.99056
145	17541.60998
146	17470.03511
147	17433.54614
148	17403.24195
149	17390.79123
150	17333.43167
151	17254.59865
152	17163.77497
153	17129.03675
154	17101.64001
155	17057.72324
156	17014.79946
157	16944.98865
158	16931.0257
159	16873.94565
160	16794.1446
161	16731.76872
162	16730.25308
163	16687.84302
164	16655.73517
165	16628.04328
166	16586.04653
167	16512.43403
168	16472.17291
169	16420.84138
170	16384.65789
171	16359.5883
172	16318.68727
173	16296.76626
174	16279.47311
175	16223.49217
176	16195.74527
177	16165.66524
178	16124.77159
179	16090.88836
180	16029.44294
181	15971.23579
182	15957.43848
183	15922.89438
184	15867.15426
185	15808.95013
186	15785.69744
187	15740.99607
188	15699.38229
189	15673.02772
190	15622.08325
191	15583.38704
192	15560.16892
193	15506.14968
194	15456.96692
195	15421.18565
196	15382.86693
197	15358.81076
198	15304.51633
199	15282.36542
200	15223.86336
201	15173.42775
202	15098.39524
203	15063.21095
204	14999.06926
205	14948.5827
206	14930.46088
207	14886.85596
208	14817.83347
209	14791.62665
210	14775.22884
211	14736.75201
212	14720.16197
213	14691.3942
214	14630.08338
215	14610.6805
216	14565.63053
217	14520.52324
218	14485.61265
219	14443.61177
220	14390.50005
221	14330.01737
222	14292.14762
223	14219.06225
224	14169.68737
225	14110.25798
226	14082.02127
227	14065.17512
228	14023.78987
229	14008.20364
230	13978.36373
231	13926.16591
232	13876.99596
233	13819.89409
234	13769.95359
235	13730.71219
236	13688.38201
237	13668.80166
238	13637.3426
239	13623.09238
240	13592.76488
241	13570.41928
242	13519.97233
243	13507.49525
244	13468.05703
245	13435.41853
246	13390.56242
247	13365.02327
248	13338.96894
249	13310.84216
250	13269.85672
251	13234.10351
252	13205.506
253	13173.62517
254	13122.62347
255	13085.87542
256	13048.31404
257	12994.9156
258	12943.81426
259	12919.00121
260	12888.18069
261	12871.72949
262	12837.79251
263	12800.40491
264	12775.14891
265	12729.11841
266	12715.66793
267	12686.95477
268	12653.28303
269	12608.9436
270	12572.84257
271	12549.88889
272	12524.41798
273	12465.52217
274	12448.73022
275	12429.72937
276	12391.76481
277	12377.81236
278	12362.54464
279	12335.35902
280	12296.30233
281	12262.20856
282	12249.02424
283	12233.70683
284	12191.1887
285	12174.76962
286	12166.01033
287	12123.02957
288	12086.50321
289	12069.69134
290	12018.65265
291	11993.2465
292	11956.92316
293	11907.46834
294	11875.80161
295	11846.84476
296	11800.53053
297	11775.11216
298	11720.54083
299	11693.42576
300	11677.38073
301	11649.74
302	11635.08137
303	11612.94983
304	11573.83012
305	11546.34642
306	11535.26208
307	11508.58069
308	11480.19786
309	11454.94923
310	11425.38021
311	11409.9876
312	11397.71958
313	11355.0138
314	11332.7441
315	11301.57614
316	11294.35572
317	11270.47587
318	11235.73961
319	11218.80764
320	11176.23791
321	11159.41979
322	11132.56417
323	11119.0663
324	11097.46053
325	11083.5911
326	11045.79752
327	11031.77064
328	11009.42738
329	10978.89597
330	10953.58062
331	10910.51749
332	10887.40984
333	10863.85068
334	10844.50835
335	10806.86386
336	10772.93951
337	10757.60907
338	10734.82576
339	10698.59055
340	10675.21932
341	10654.25403
342	10611.23958
343	10577.05164
344	10555.39036
345	10528.28753
346	10492.07137
347	10467.13697
348	10450.8415
349	10414.0651
350	10397.1358
351	10366.49634
352	10336.61178
353	10306.57341
354	10281.75907
355	10252.01717
356	10217.71548
357	10188.99726
358	10166.9817
359	10128.69767
360	10101.91944
361	10080.07181
362	10072.04554
363	10051.48767
364	10033.8466
365	10002.98695
366	9974.305524
367	9954.593458
368	9909.528854
369	9890.75842
370	9878.06116
371	9865.607443
372	9844.969933
373	9822.128206
374	9803.032705
375	9785.955669
376	9753.425605
377	9734.771885
378	9707.243575
379	9686.326864
380	9669.600748
381	9646.607818
382	9619.714982
383	9603.446881
384	9583.802064
385	9567.479781
386	9548.724543
387	9521.785463
388	9494.592161
389	9467.143878
390	9447.53045
391	9427.723842
392	9393.923628
393	9371.427299
394	9342.400683
395	9312.310308
396	9296.456945
397	9276.873206
398	9251.7646
399	9225.617072
400	9214.863023
401	9197.917827
402	9177.881742
403	9159.603203
404	9132.947508
405	9102.526579
406	9088.062431
407	9067.564257
408	9036.91118
409	9013.91106
410	8991.014268
411	8961.788767
412	8949.96852
413	8935.93217
414	8918.604122
415	8896.908258
416	8885.87831
417	8875.198289
418	8856.417438
419	8841.306828
420	8821.916233
421	8805.967929
422	8790.736101
423	8770.723811
424	8744.754697
425	8725.400143
426	8708.193315
427	8691.635005
428	8681.520629
429	8671.046091
430	8650.381591
431	8631.799832
432	8615.643198
433	8587.759122
434	8563.552246
435	8529.855745
436	8507.649685
437	8493.248603
438	8471.042082
439	8455.312045
440	8430.440582
441	8417.823031
442	8399.783123
443	8389.335154
444	8369.824757
445	8351.008515
446	8341.868162
447	8316.931461
448	8294.519389
449	8282.320448
450	8262.130761
451	8253.669022
452	8243.449857
453	8228.033475
454	8216.719988
455	8209.473641
456	8189.468001
457	8166.916975
458	8158.594808
459	8142.339223
460	8129.233402
461	8109.578192
462	8092.717823
