iter	RMSE
0	35311.16948
1	35176.0427
2	34983.22516
3	34767.99432
4	34576.16715
5	34378.61899
6	34201.87259
7	34012.39886
8	33814.99966
9	33697.12993
10	33515.09307
11	33346.72077
12	33204.60861
13	33038.88769
14	32900.15593
15	32737.38395
16	32544.19584
17	32381.81473
18	32214.70908
19	32038.84987
20	31908.38603
21	31773.18137
22	31615.96984
23	31453.88068
24	31336.16722
25	31184.09334
26	31027.7116
27	30888.18771
28	30702.36984
29	30556.78452
30	30442.098
31	30310.3098
32	30191.54473
33	30084.23535
34	29946.46068
35	29754.18179
36	29620.39333
37	29496.54184
38	29371.05212
39	29225.84104
40	29075.22209
41	28944.84917
42	28848.52637
43	28706.08499
44	28591.31436
45	28446.0656
46	28340.47965
47	28210.6389
48	28108.40744
49	28037.21059
50	27922.99328
51	27787.52698
52	27714.17968
53	27619.94931
54	27511.24773
55	27395.9282
56	27302.69731
57	27213.78399
58	27095.47017
59	26980.77674
60	26887.06469
61	26791.79709
62	26666.49333
63	26589.00426
64	26479.65834
65	26381.74483
66	26304.14951
67	26244.03108
68	26148.39096
69	26058.41539
70	25972.12182
71	25892.93565
72	25843.11737
73	25738.53825
74	25643.83521
75	25551.15117
76	25453.12099
77	25364.54195
78	25272.04319
79	25202.36548
80	25147.36227
81	25033.26286
82	24962.42707
83	24897.74249
84	24805.20123
85	24681.84643
86	24576.22887
87	24489.39208
88	24406.89164
89	24313.41041
90	24234.45067
91	24172.82665
92	24119.44159
93	24051.18203
94	23999.4662
95	23919.34629
96	23861.04242
97	23819.93468
98	23745.79664
99	23681.82702
100	23604.05283
101	23537.23326
102	23489.7226
103	23423.60698
104	23348.05038
105	23271.45407
106	23227.45123
107	23164.17789
108	23121.23727
109	23060.50959
110	22996.73349
111	22940.51973
112	22852.86517
113	22791.71997
114	22724.98725
115	22677.50629
116	22620.96149
117	22596.2484
118	22513.60696
119	22445.75853
120	22381.85788
121	22321.31447
122	22259.82549
123	22203.79437
124	22146.48878
125	22113.67427
126	22067.81266
127	22027.46902
128	21984.77027
129	21922.91584
130	21877.6255
131	21835.37757
132	21777.37934
133	21722.65841
134	21649.92161
135	21591.85272
136	21540.26863
137	21498.68712
138	21451.6052
139	21407.00019
140	21385.19785
141	21330.11155
142	21261.65792
143	21239.70295
144	21190.84622
145	21144.68112
146	21113.11993
147	21083.10294
148	21026.75375
149	21013.4331
150	20961.5276
151	20894.52386
152	20831.2087
153	20777.1594
154	20744.08306
155	20696.90615
156	20655.57427
157	20592.43527
158	20530.22933
159	20485.15469
160	20436.78334
161	20413.26694
162	20370.35922
163	20323.34118
164	20264.18622
165	20225.88104
166	20204.75239
167	20176.05182
168	20139.07912
169	20126.11503
170	20080.54086
171	20055.91112
172	20024.86582
173	19993.20622
174	19956.60865
175	19912.81138
176	19869.44085
177	19815.05658
178	19770.8091
179	19728.8656
180	19679.57996
181	19640.90783
182	19621.50564
183	19591.70443
184	19572.26416
185	19516.53527
186	19469.29969
187	19434.79986
188	19410.87538
189	19363.16612
190	19318.66573
191	19284.0184
192	19228.94423
193	19209.64589
194	19190.46845
195	19154.07599
196	19142.45793
197	19130.18986
198	19090.19199
199	19051.70997
200	19018.02488
201	18977.0549
202	18951.38138
203	18918.13472
204	18912.91394
205	18890.33154
206	18850.73524
207	18827.2861
208	18789.00132
209	18743.88577
210	18699.82339
211	18686.21422
212	18656.04596
213	18625.5944
214	18603.0018
215	18567.89578
216	18554.09737
217	18530.36291
218	18504.74465
219	18485.48472
220	18453.03671
221	18429.29652
222	18401.37295
223	18365.39103
224	18346.89575
225	18319.05988
226	18287.58797
227	18257.21735
228	18234.22865
229	18209.14027
