iter	Passed	Remaining
0	2	14330
1	4	10076
2	5	8346
3	5	7446
4	6	6930
5	7	6550
6	8	6227
7	9	6150
8	10	6002
9	11	5921
10	12	5865
11	14	6035
12	15	6052
13	17	6168
14	19	6327
15	20	6532
16	22	6463
17	23	6449
18	24	6298
19	24	6221
20	25	6110
21	26	6011
22	27	5970
23	28	5970
24	29	5952
25	30	5910
26	31	5873
27	32	5811
28	33	5789
29	34	5753
30	35	5718
31	36	5694
32	38	5783
33	39	5741
34	40	5704
35	40	5639
36	42	5637
37	43	5650
38	44	5628
39	45	5615
40	46	5584
41	47	5574
42	47	5523
43	48	5512
44	50	5549
45	51	5513
46	51	5474
47	52	5427
48	53	5383
49	53	5343
50	54	5303
51	55	5267
52	56	5231
53	56	5193
54	57	5156
55	58	5124
56	58	5090
57	59	5059
58	60	5028
59	60	4996
60	61	4978
61	62	4954
62	62	4934
63	63	4913
64	64	4889
65	65	4863
66	65	4839
67	66	4816
68	67	4795
69	67	4773
70	68	4753
71	69	4731
72	69	4711
73	70	4709
74	72	4733
75	73	4735
76	74	4742
77	75	4742
78	76	4752
79	77	4739
80	78	4750
81	79	4782
82	80	4762
83	81	4748
84	81	4731
85	82	4715
86	83	4697
87	83	4681
88	84	4665
89	85	4648
90	85	4633
91	86	4617
92	87	4602
93	87	4586
94	88	4574
95	89	4560
96	89	4547
97	90	4539
98	91	4526
99	92	4513
100	92	4500
101	93	4487
102	94	4474
103	94	4462
104	95	4449
105	96	4438
106	96	4427
107	97	4417
108	98	4407
109	98	4397
110	99	4395
111	100	4405
112	102	4415
113	103	4418
114	104	4422
115	105	4425
116	106	4437
117	107	4467
118	108	4463
119	109	4453
120	110	4447
121	111	4439
122	111	4430
123	112	4420
124	113	4410
125	113	4400
126	114	4390
127	115	4381
128	115	4371
129	116	4362
130	117	4354
131	117	4345
132	118	4336
133	119	4328
134	119	4322
135	120	4315
136	121	4306
137	121	4296
138	122	4290
139	123	4282
140	124	4274
141	124	4267
142	125	4260
143	126	4252
144	126	4245
145	127	4238
146	128	4231
147	128	4224
148	129	4230
149	131	4244
150	132	4251
151	133	4253
152	134	4252
153	135	4259
154	136	4271
155	137	4276
156	138	4268
157	139	4267
158	139	4259
159	140	4253
160	141	4246
161	141	4238
162	142	4232
163	143	4226
164	143	4219
165	144	4213
166	145	4206
167	146	4214
168	147	4209
169	147	4202
170	148	4196
171	149	4194
172	150	4188
173	150	4182
174	151	4175
175	152	4170
176	152	4164
177	153	4158
178	154	4153
179	154	4148
180	155	4142
181	156	4136
182	156	4131
183	157	4126
184	158	4120
185	159	4130
186	160	4139
187	161	4145
188	162	4147
189	163	4148
190	165	4154
191	166	4175
192	167	4174
193	168	4169
194	169	4167
195	169	4165
196	170	4155
197	171	4150
198	171	4144
199	172	4140
200	173	4134
201	173	4130
202	174	4126
203	175	4121
204	175	4115
205	176	4111
206	177	4107
207	178	4102
208	178	4101
209	179	4096
210	180	4092
211	180	4087
212	181	4082
213	182	4085
214	183	4081
215	184	4077
216	184	4073
217	185	4069
218	186	4064
219	186	4060
220	187	4056
221	188	4059
222	189	4067
223	190	4071
224	191	4073
225	192	4074
226	193	4075
227	195	4086
228	196	4098
229	197	4093
230	198	4092
231	198	4088
232	199	4084
233	200	4079
234	200	4075
235	201	4071
236	202	4067
237	203	4062
238	203	4058
239	204	4055
240	205	4050
241	205	4047
242	206	4043
243	207	4037
244	207	4033
245	208	4030
246	209	4026
247	209	4023
248	210	4019
249	211	4012
250	211	4008
251	212	4005
252	212	3996
253	213	3992
254	214	3988
255	215	3985
256	215	3982
257	216	3978
258	217	3982
259	218	3987
260	219	3992
261	220	3995
262	221	3997
263	223	4001
264	223	3999
265	224	4000
266	226	4010
267	227	4009
268	227	4006
269	228	4003
270	229	4000
271	229	3996
272	230	3992
273	231	3989
274	232	3986
275	232	3983
276	233	3980
277	234	3976
278	234	3972
279	235	3969
280	236	3966
281	236	3963
282	237	3961
283	238	3957
284	239	3954
285	239	3951
286	240	3944
287	240	3941
288	241	3937
289	242	3934
290	242	3930
291	243	3927
292	244	3923
293	244	3920
294	245	3917
295	246	3920
296	247	3925
297	248	3928
298	249	3929
299	250	3930
300	251	3933
301	252	3931
