iter	Passed	Remaining
0	1	1701
1	3	1641
2	4	1640
3	6	1627
4	9	1932
5	13	2177
6	16	2292
7	19	2377
8	22	2447
9	25	2513
10	28	2565
11	31	2569
12	33	2580
13	36	2598
14	40	2639
15	43	2659
16	46	2671
17	49	2681
18	52	2688
19	55	2707
20	58	2737
21	61	2737
22	64	2736
23	67	2748
24	70	2749
25	73	2757
26	76	2764
27	79	2764
28	82	2764
29	85	2761
30	88	2778
31	91	2782
32	94	2781
33	97	2773
34	100	2773
35	103	2777
36	106	2772
37	109	2773
38	112	2778
39	115	2777
40	118	2779
41	121	2779
42	124	2781
43	127	2779
44	130	2779
45	134	2779
46	136	2775
47	139	2776
48	142	2774
49	145	2772
50	148	2760
51	150	2745
52	152	2724
53	154	2700
54	155	2679
55	158	2670
56	161	2674
57	164	2665
58	166	2655
59	168	2645
60	170	2624
61	172	2606
62	174	2590
63	175	2570
64	177	2547
65	178	2520
66	179	2494
67	180	2469
68	183	2471
69	185	2470
70	188	2465
71	189	2443
72	190	2419
73	192	2405
74	193	2383
75	194	2361
76	195	2341
77	198	2344
78	200	2339
79	203	2341
80	205	2332
81	208	2335
82	212	2343
83	215	2352
84	219	2358
85	222	2365
86	225	2367
87	228	2369
88	231	2372
89	234	2372
90	237	2374
91	240	2377
92	243	2379
93	246	2377
94	249	2378
95	252	2378
96	255	2378
97	258	2379
98	261	2383
99	264	2382
100	267	2382
101	270	2381
102	273	2384
103	277	2387
104	280	2387
105	282	2386
106	285	2385
107	289	2388
108	292	2390
109	295	2392
110	298	2389
111	301	2386
112	303	2385
113	306	2384
114	309	2385
115	312	2384
116	315	2383
117	318	2382
118	321	2382
119	324	2381
120	327	2377
121	330	2376
122	333	2375
123	336	2374
124	339	2374
125	342	2373
126	345	2372
127	347	2369
128	350	2364
129	352	2358
130	355	2356
131	357	2352
132	360	2348
133	362	2339
134	363	2330
135	365	2321
136	367	2314
137	369	2307
138	373	2312
139	376	2310
140	378	2308
141	381	2307
142	384	2305
143	387	2302
144	390	2301
145	393	2301
146	396	2302
147	399	2301
148	402	2299
149	405	2299
150	408	2297
151	411	2293
152	413	2290
153	416	2287
154	419	2289
155	422	2287
156	425	2283
157	428	2284
158	431	2284
159	435	2285
160	438	2283
161	440	2281
162	443	2279
163	446	2278
164	449	2276
165	453	2277
166	456	2275
167	459	2274
168	462	2274
169	466	2275
170	469	2274
171	472	2272
172	474	2270
173	477	2267
174	480	2265
175	483	2264
176	486	2262
177	489	2260
178	492	2259
179	495	2257
180	498	2256
181	501	2254
182	504	2252
183	507	2248
184	510	2247
185	513	2245
186	516	2246
187	519	2245
188	523	2244
189	525	2241
190	528	2239
191	531	2236
192	533	2228
193	535	2223
194	536	2215
195	537	2205
196	538	2195
197	540	2188
198	542	2184
199	545	2183
200	548	2179
201	550	2173
202	551	2165
203	552	2156
204	553	2146
205	554	2137
206	555	2129
207	556	2120
208	557	2111
209	558	2102
210	561	2098
211	563	2095
212	566	2091
213	567	2085
214	568	2075
215	569	2066
216	570	2058
217	571	2049
218	572	2041
219	573	2032
220	574	2024
221	575	2016
222	578	2015
223	580	2011
224	581	2004
225	582	1996
226	583	1988
227	584	1980
228	586	1973
229	589	1973
230	592	1971
231	594	1968
232	597	1966
233	600	1964
234	602	1962
235	605	1960
236	608	1958
237	610	1954
238	613	1954
239	616	1953
240	619	1950
241	622	1948
242	625	1947
243	627	1945
244	630	1943
245	633	1941
246	636	1939
247	638	1936
248	641	1935
249	644	1933
250	647	1931
251	649	1929
252	652	1927
253	655	1925
254	658	1923
255	661	1921
256	663	1919
257	666	1916
258	669	1915
259	672	1914
260	675	1912
261	678	1910
262	681	1909
263	684	1908
264	686	1905
265	689	1903
266	692	1901
267	695	1900
268	698	1898
269	701	1895
270	704	1894
271	707	1892
272	709	1890
273	712	1888
274	715	1887
275	719	1886
276	721	1884
277	724	1881
278	727	1880
279	730	1878
280	733	1875
281	736	1875
282	739	1873
283	742	1871
284	744	1868
285	747	1867
286	749	1862
287	752	1859
288	752	1852
289	753	1845
290	755	1840
291	756	1834
292	757	1828
293	758	1822
294	759	1815
295	760	1809
296	761	1803
297	762	1796
298	763	1790
299	764	1783
300	767	1781
301	769	1778
302	772	1775
303	773	1770
304	774	1764
305	775	1758
306	776	1752
307	777	1746
308	778	1740
309	779	1734
310	782	1732
311	785	1731
312	787	1729
313	791	1728
314	793	1726
315	796	1724
316	800	1724
317	802	1722
318	805	1720
319	808	1718
320	812	1717
321	815	1717
322	818	1715
323	820	1712
324	823	1710
325	826	1708
326	829	1707
327	832	1705
328	835	1703
329	838	1702
330	841	1700
331	844	1698
332	847	1697
333	850	1695
334	852	1692
335	855	1690
336	858	1688
337	861	1686
338	864	1684
339	866	1682
340	869	1680
341	872	1677
342	874	1675
343	878	1674
344	880	1672
345	883	1669
346	885	1667
347	888	1665
348	891	1662
349	894	1661
350	897	1658
351	899	1656
352	902	1653
353	904	1651
354	907	1648
355	910	1647
356	914	1646
357	917	1644
358	919	1642
359	922	1639
360	924	1637
361	927	1634
362	930	1632
363	932	1628
364	933	1624
365	935	1619
366	935	1614
367	936	1609
368	937	1603
369	938	1598
370	941	1595
371	942	1591
372	943	1586
373	944	1581
374	946	1576
375	947	1571
376	948	1566
377	949	1561
378	950	1556
379	951	1551
380	951	1546
381	952	1541
382	953	1536
383	955	1533
384	958	1531
385	961	1529
386	963	1526
387	965	1523
388	967	1519
389	968	1515
390	969	1510
391	971	1506
392	975	1506
393	978	1504
394	981	1502
395	983	1500
396	986	1499
397	990	1497
398	992	1495
399	995	1492
400	997	1489
401	1000	1487
402	1003	1486
403	1006	1484
404	1009	1482
405	1012	1480
406	1015	1479
407	1018	1477
408	1020	1474
409	1023	1472
410	1026	1470
411	1029	1468
412	1032	1466
413	1035	1465
414	1037	1462
415	1040	1460
416	1043	1458
417	1045	1456
418	1048	1453
419	1051	1451
420	1053	1449
421	1056	1447
422	1059	1444
423	1062	1442
424	1064	1440
425	1067	1438
426	1070	1436
427	1072	1433
428	1075	1431
429	1078	1429
430	1081	1427
431	1084	1426
