iter	RMSE
0	2.501225211
1	2.440086146
2	2.381105691
3	2.322367904
4	2.273720354
5	2.2205536
6	2.167067093
7	2.115230898
8	2.064891851
9	2.014754046
10	1.96645883
11	1.923102167
12	1.879464325
13	1.835382757
14	1.792612684
15	1.753463597
16	1.711349525
17	1.6719108
18	1.633486319
19	1.595965494
20	1.55953693
21	1.525061717
22	1.493032956
23	1.457806797
24	1.426420336
25	1.396270471
26	1.369100398
27	1.340832954
28	1.315676307
29	1.28820452
30	1.260861987
31	1.234914509
32	1.209690546
33	1.185060515
34	1.164683264
35	1.140972442
36	1.120514515
37	1.102194751
38	1.080848079
39	1.059131977
40	1.038663739
41	1.01942005
42	1.001070161
43	0.9825764999
44	0.9649996747
45	0.947640235
46	0.9310480715
47	0.9150515918
48	0.8992723026
49	0.8844227845
50	0.8714440203
51	0.857178203
52	0.8429687271
53	0.8283895166
54	0.8153142235
55	0.8042073719
56	0.7924615903
57	0.7802109319
58	0.7694409711
59	0.7580875188
60	0.7474608474
61	0.736822813
62	0.7264274278
63	0.7163877905
64	0.707013774
65	0.6981660049
66	0.6882911582
67	0.6800521481
68	0.6717177385
69	0.6633966634
70	0.6554922165
71	0.6477853117
72	0.6409950631
73	0.6328280049
74	0.6259699338
75	0.6189996174
76	0.6125236752
77	0.6075327422
78	0.6023260492
79	0.5967050463
80	0.5913331514
81	0.5859397664
82	0.5805076814
83	0.5755862161
84	0.5698749474
85	0.5647417891
86	0.5601204961
87	0.5556848027
88	0.5511559235
89	0.54747138
90	0.5433293281
91	0.5382376101
92	0.5350685943
93	0.5308143503
94	0.5273764215
95	0.5234416774
96	0.519681308
97	0.5153928945
98	0.5123414043
99	0.5089438055
100	0.5057730472
101	0.5027822595
102	0.4999567964
103	0.4965581834
104	0.4937435465
105	0.490931641
106	0.488309893
107	0.4852522703
108	0.4824556541
109	0.4798871854
110	0.4772752409
111	0.4744989159
112	0.4727074199
113	0.470862967
114	0.4684024257
115	0.4665051114
116	0.4643116973
117	0.4626724812
118	0.4612721523
119	0.4597126373
120	0.4579263144
121	0.4558750717
122	0.4538396164
123	0.4518140236
124	0.4505558242
125	0.449314602
126	0.4476035534
127	0.4459682796
128	0.4446452975
129	0.4432235756
130	0.4422215506
131	0.4408295495
132	0.4394942623
133	0.4381384029
134	0.4369310144
135	0.435531109
136	0.4344245605
137	0.4336733834
138	0.4328921191
139	0.4316987019
140	0.4307878636
141	0.4298577917
142	0.4287416504
143	0.4281126223
144	0.4271684649
145	0.4265520888
146	0.4256321991
147	0.4243301414
148	0.423397617
149	0.4224790437
150	0.4215378686
151	0.4209020897
152	0.4197783424
153	0.418871162
154	0.4177658049
155	0.4170715297
156	0.4163706927
157	0.4155206743
158	0.4150620705
159	0.4145597891
160	0.4139220211
161	0.4128450069
162	0.4121477784
163	0.4113800573
164	0.410612813
165	0.4099403974
166	0.409367646
167	0.4088836062
168	0.4084563157
169	0.4082747921
170	0.4077062548
171	0.406937068
172	0.4061069629
173	0.4056927173
174	0.4050961694
175	0.4045078733
176	0.4041957596
177	0.4035104159
178	0.4028692643
179	0.4023874015
180	0.4017808706
181	0.4009754382
182	0.4005025625
183	0.3998956565
184	0.3993757344
185	0.3990195968
186	0.3985457649
187	0.3982243272
188	0.3978484961
189	0.3972311469
190	0.3968731043
191	0.3965550375
192	0.3964203246
193	0.395915619
194	0.3956082256
195	0.3953843591
196	0.3948947945
197	0.3944838001
198	0.3939280933
199	0.3935268783
200	0.3929601992
201	0.392504692
202	0.3921873134
203	0.391879601
204	0.3914737258
205	0.391059867
206	0.3906848717
207	0.3903046392
208	0.3900485351
209	0.3896649438
210	0.3892600827
211	0.3888022288
212	0.3882919476
213	0.3881052297
214	0.3877446567
215	0.3873258354
216	0.3868728275
217	0.3864755992
218	0.3860515209
219	0.3857305564
220	0.3855004755
221	0.3851362632
222	0.3848679801
223	0.3844994702
224	0.3841015497
225	0.3838047432
226	0.3834625967
227	0.383114749
228	0.3827599
229	0.3823746089
230	0.3822321638
231	0.3818557694
232	0.3812513044
233	0.3807815155
234	0.3803437357
235	0.3799425034
236	0.3797017449
237	0.3793349329
238	0.3791357726
239	0.3786912225
240	0.3782993486
241	0.3779989655
242	0.3776955909
243	0.3772960405
244	0.3771513645
245	0.3769653258
246	0.3765379096
247	0.3762566114
248	0.3759982833
249	0.3757470741
250	0.3754494244
251	0.3752802555
252	0.3749775555
253	0.3745909126
254	0.3742442675
255	0.3740553152
256	0.3736618835
257	0.3735139357
258	0.3729844627
259	0.3728065873
260	0.3725521353
261	0.372163202
262	0.3720435699
263	0.3716861682
264	0.371423455
265	0.3710752031
266	0.3709032846
267	0.3708170745
268	0.3704739827
269	0.3703338861
270	0.3699424387
271	0.3697384531
272	0.3694406175
273	0.3692070266
274	0.3688293249
275	0.3683697516
276	0.3682489274
277	0.3681258515
278	0.3677783044
279	0.3674260644
280	0.3672256404
281	0.3668633858
282	0.3666486594
283	0.3664055026
284	0.3661748072
285	0.3659652087
286	0.3657028843
287	0.3655013207
288	0.3653542579
289	0.3652068063
290	0.3649091452
291	0.3646495862
292	0.3643853924
293	0.3641424812
294	0.3640226909
295	0.3637653425
296	0.3635828789
297	0.3632754582
298	0.3629315953
299	0.362693531
300	0.3624046541
301	0.3622355721
302	0.3620599139
303	0.3619050184
304	0.3617071483
305	0.3614851918
306	0.3612218311
307	0.3610314573
308	0.3608360966
309	0.3605836882
310	0.3604409426
311	0.3602800661
312	0.3601736067
313	0.3599544335
314	0.3596627629
315	0.3595051535
316	0.3593418429
317	0.3591754945
318	0.3590666947
319	0.3588503997
320	0.3586444794
321	0.3585216408
322	0.3583565955
323	0.3581527731
324	0.3579162767
325	0.357813098
326	0.3576585829
327	0.3574454638
328	0.3570809763
329	0.3568709621
330	0.3566344089
331	0.3565355009
332	0.3563705233
333	0.3561827025
334	0.3560572479
335	0.3558102658
336	0.3556472184
337	0.3555143132
338	0.3552391818
339	0.3551156512
340	0.3549236219
341	0.354896295
342	0.3547672322
343	0.3546106343
344	0.3543674892
345	0.3541874145
346	0.3539995375
347	0.353769039
348	0.3535467182
349	0.3534485196
350	0.3532369146
351	0.3531279936
352	0.352979545
353	0.3527017369
354	0.3525728348
355	0.3524282734
356	0.3521557881
357	0.3519446417
358	0.3517816915
359	0.3515908648
360	0.3514801611
361	0.3512721545
362	0.3510305026
363	0.3507936646
364	0.350721665
365	0.3505482125
366	0.350357429
367	0.3502543939
368	0.3501151424
369	0.3498219037
370	0.3496294881
371	0.349437998
372	0.3492450734
373	0.3490894326
374	0.3489254793
375	0.3488332041
376	0.3486067725
377	0.3484576882
378	0.3482720458
379	0.3480395943
380	0.3479191496
381	0.3477509787
382	0.3475574339
383	0.3474081575
384	0.3472619644
385	0.3471477471
386	0.3470230414
387	0.3468987536
388	0.3468099378
389	0.3467593409
390	0.3466688569
391	0.3465295625
392	0.3464578957
393	0.3461739605
394	0.345995834
395	0.3458414949
396	0.345660073
397	0.3455513434
398	0.3453272258
399	0.3452372345
400	0.345138796
401	0.3450353241
402	0.3447912653
403	0.3446781253
404	0.3444138484
405	0.3443124294
406	0.3441934893
407	0.3440332526
408	0.3438385141
409	0.3435918051
410	0.3434238534
411	0.3432237012
412	0.3430682687
413	0.3429211339
414	0.3427467669
415	0.3426294373
416	0.3424613815
417	0.3423489293
418	0.3422424092
419	0.342089959
420	0.3419812427
421	0.3417585303
422	0.3416308059
423	0.3414521052
424	0.34128095
425	0.3411871734
426	0.3410210933
427	0.3409102379
428	0.3406649431
429	0.3405646481
430	0.3403300475
431	0.3402477577
432	0.340153592
433	0.3399885535
434	0.3398376722
435	0.3397770099
436	0.3396704987
437	0.3395178266
438	0.3394014545
439	0.3392748152
440	0.3391519973
441	0.3390649279
442	0.3389898311
443	0.3388875003
444	0.3387440528
445	0.3386191186
446	0.3385161586
447	0.338361338
448	0.3381603846
449	0.3380897746
450	0.3379037237
451	0.3378449536
452	0.3377455599
453	0.3376357676
454	0.3375109795
455	0.3373251901
456	0.3371280471
457	0.3370518968
458	0.3369367543
459	0.3368370093
460	0.3367344066
461	0.3366366382
462	0.3364863322
463	0.3363520381
464	0.3362490207
465	0.3361133277
466	0.3359052866
467	0.3357129191
468	0.3356009046
469	0.3355489047
470	0.3354873602
471	0.3352845183
472	0.3351686683
473	0.3350518391
474	0.3348684569
475	0.3347406624
476	0.3346079068
477	0.3344775199
478	0.3343139498
479	0.3341434137
480	0.3340260174
481	0.3338641353
482	0.3337744113
483	0.3336892892
484	0.3336035495
485	0.3335046586
486	0.3333377055
487	0.3332397275
488	0.3331429921
489	0.3330773436
490	0.3329999511
491	0.3329393578
492	0.3327743961
493	0.3326466248
494	0.3325802873
495	0.3324826059
496	0.3324424477
497	0.3323788367
498	0.3322096332
499	0.3321955569
500	0.3320069254
501	0.331854371
502	0.3317414681
503	0.331619742
504	0.3314945403
505	0.3313767469
506	0.3313203596
507	0.3312246187
508	0.3311552237
509	0.3310644761
510	0.3310289503
511	0.3308835542
512	0.3307372926
513	0.3305510637
514	0.3304785669
515	0.3303651561
516	0.3302912924
517	0.3301960638
518	0.3300264098
519	0.3299496888
520	0.3298584006
521	0.3297883371
522	0.3296062746
523	0.3295163437
524	0.3293458855
525	0.3292506896
526	0.3291595376
527	0.3290492768
528	0.3289409529
529	0.328835996
530	0.3287294004
531	0.3285893363
532	0.3284316119
533	0.3283468964
534	0.3282585675
535	0.3281395924
536	0.3279860794
537	0.3278796748
538	0.3277677743
539	0.3276632402
540	0.3275276902
541	0.3273500063
542	0.3272095477
543	0.3271481973
544	0.3270717816
545	0.3270147573
546	0.3269142562
547	0.3267456052
548	0.3266266051
549	0.3264587933
550	0.3263395472
551	0.3262552242
552	0.3261713577
553	0.32608271
554	0.3260132177
555	0.3258849328
556	0.3258408051
557	0.3257600242
558	0.3257027633
559	0.325609335
560	0.3254701099
561	0.3253539563
562	0.3253025421
563	0.3252003872
564	0.3251258832
565	0.3249787795
566	0.3248310341
567	0.3247736017
568	0.3246986471
569	0.3246364684
570	0.3245166397
571	0.3243894721
572	0.3243246299
573	0.3242118118
574	0.3241825996
575	0.3240267194
576	0.3239096121
577	0.3238289143
578	0.3237653756
579	0.3236589787
580	0.3235071826
581	0.3234446149
582	0.3233282414
583	0.3232415424
584	0.3231510583
585	0.3230458091
586	0.3229803041
587	0.3229090263
588	0.3228538373
589	0.3227833761
590	0.322720829
591	0.3225962771
592	0.3225265791
