iter	Passed	Remaining
0	2	2344
1	4	2473
2	7	2398
3	9	2384
4	11	2335
5	13	2308
6	16	2293
7	18	2284
8	20	2260
9	23	2347
10	26	2341
11	28	2371
12	31	2378
13	33	2341
14	35	2336
15	37	2331
16	41	2379
17	44	2417
18	46	2424
19	49	2407
20	51	2383
21	53	2379
22	56	2398
23	59	2400
24	61	2415
25	64	2404
26	66	2384
27	68	2371
28	70	2362
29	72	2352
30	75	2352
31	77	2335
32	79	2326
33	81	2324
34	84	2319
35	86	2323
36	89	2317
37	91	2320
38	94	2320
39	96	2315
40	98	2304
41	100	2297
42	103	2293
43	105	2285
44	107	2280
45	109	2275
46	111	2268
47	114	2264
48	116	2265
49	119	2271
50	121	2265
51	124	2267
52	126	2267
53	128	2258
54	130	2250
55	133	2242
56	135	2238
57	137	2232
58	139	2226
59	141	2220
60	143	2214
61	145	2208
62	148	2208
63	151	2208
64	153	2203
65	155	2206
66	158	2207
67	160	2199
68	162	2195
69	164	2190
70	166	2180
71	168	2169
72	169	2158
73	171	2147
74	173	2137
75	174	2127
76	176	2113
77	177	2094
78	178	2076
79	179	2065
80	180	2053
81	181	2035
82	182	2021
83	183	2006
84	185	1997
85	187	1988
86	188	1976
87	189	1961
88	190	1946
89	191	1932
90	191	1917
91	192	1903
92	193	1889
93	194	1876
94	195	1863
95	196	1850
96	197	1837
97	198	1824
98	199	1812
99	200	1800
100	200	1788
101	201	1776
102	202	1765
103	203	1754
104	204	1743
105	205	1732
106	206	1721
107	207	1711
108	208	1701
109	209	1698
110	211	1693
111	212	1683
112	213	1674
113	214	1668
114	215	1660
115	216	1653
116	218	1647
117	219	1638
118	220	1629
119	220	1620
120	221	1612
121	222	1603
122	223	1594
123	224	1586
124	225	1577
125	226	1569
126	227	1561
127	228	1554
128	229	1546
129	230	1539
130	230	1531
131	231	1524
132	232	1516
133	233	1509
134	234	1502
135	235	1495
136	236	1488
137	237	1482
138	238	1475
139	240	1477
140	241	1471
141	242	1465
142	243	1459
143	245	1458
144	246	1454
145	248	1450
146	249	1444
147	249	1438
148	250	1432
149	251	1425
150	252	1419
151	253	1413
152	254	1407
153	255	1401
154	256	1395
155	256	1389
156	257	1384
157	258	1378
158	259	1373
159	260	1367
160	261	1362
161	262	1357
162	263	1351
163	264	1346
164	265	1341
165	265	1335
166	266	1330
167	267	1325
168	268	1321
169	270	1318
170	271	1315
171	272	1311
172	273	1306
173	274	1301
174	276	1301
175	277	1300
176	278	1295
177	279	1290
178	280	1286
179	281	1281
180	282	1277
181	283	1272
182	284	1268
183	284	1263
184	285	1259
185	286	1255
186	287	1250
187	288	1246
188	289	1241
189	290	1237
190	291	1233
191	292	1229
192	293	1225
193	293	1221
194	294	1216
195	295	1213
196	296	1209
197	297	1205
198	298	1201
199	299	1199
200	301	1197
201	302	1193
202	303	1190
203	304	1188
204	305	1186
205	307	1185
206	308	1182
207	309	1179
208	310	1175
209	311	1171
210	312	1168
211	313	1164
212	314	1160
213	315	1157
214	316	1153
215	316	1150
216	317	1146
217	318	1143
218	319	1139
219	320	1136
220	321	1132
221	322	1129
222	323	1126
223	324	1122
224	324	1119
225	325	1116
226	326	1112
227	327	1109
228	329	1110
229	330	1107
230	331	1104
231	333	1104
232	335	1104
233	336	1101
234	337	1098
235	338	1095
236	339	1092
237	340	1089
238	341	1086
239	342	1083
240	343	1080
241	344	1077
242	345	1074
243	345	1071
244	346	1068
245	347	1065
246	348	1063
247	349	1060
248	350	1057
249	351	1054
250	352	1051
251	353	1048
252	354	1046
253	355	1043
254	356	1041
255	358	1040
256	359	1039
257	360	1036
258	361	1034
259	362	1031
260	364	1033
261	366	1031
262	367	1029
263	368	1026
264	369	1023
265	369	1020
266	370	1018
267	371	1015
268	372	1012
269	373	1009
270	374	1008
271	375	1005
272	376	1002
273	377	1000
274	378	998
275	379	995
276	380	993
277	381	990
278	382	987
279	383	985
280	384	983
281	385	980
282	386	978
283	387	976
284	389	976
285	389	973
286	390	971
287	391	968
288	393	968
289	394	966
290	395	964
291	396	962
292	397	959
293	398	957
294	399	954
295	400	953
296	401	951
297	402	949
298	403	946
299	404	944
300	405	941
301	406	939
302	408	939
303	410	938
304	413	941
305	415	941
306	418	944
307	420	945
308	423	946
309	425	947
310	427	948
311	429	947
312	430	945
313	431	942
314	432	940
315	434	941
316	435	939
317	436	936
318	437	934
319	438	931
320	439	929
321	440	927
322	441	925
323	442	922
324	443	920
325	444	917
326	444	915
327	445	913
328	446	910
329	447	909
330	449	908
331	450	906
332	451	904
333	452	902
334	454	901
335	455	899
336	456	897
337	457	895
338	458	893
339	459	891
340	460	889
341	461	887
342	462	885
343	462	882
344	463	880
345	464	878
346	465	876
347	466	874
348	467	871
349	468	869
350	469	867
351	470	865
352	471	863
353	471	861
354	472	859
355	473	857
356	474	855
357	475	853
358	476	851
359	477	849
360	479	848
361	480	846
362	481	844
363	482	843
364	484	842
365	485	841
366	486	839
367	487	837
368	488	835
369	489	833
370	490	831
371	491	829
372	492	827
373	493	825
374	494	823
375	495	821
376	496	820
377	497	818
378	498	816
379	499	815
380	500	813
381	502	812
382	503	810
383	504	808
384	504	806
385	505	804
386	507	803
387	508	802
388	510	801
389	511	799
390	512	798
391	513	796
392	514	795
