,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,V,B,N,O,S,Zr,Homo,Weighted_AN,log_CT_CS
9Cr-062_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.753993167948554,0.0,0.0,0.0,0.0,0.0,0.29276108035858694,0.0,0.0,0.0,0.0,0.0,0.0,0.5224284078705643,-5.85179670014646
9Cr-075_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.753993167948554,0.0,0.0,0.0,0.0,0.0,0.08635991454789717,0.0,0.0,0.0,0.0,0.0,0.0,0.5224284078705643,-8.774899381709997
9Cr-075_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014581804606556743,0.0,0.0,0.0,0.0,0.0,0.0,1.5486844344233397,-5.495378572603858
9Cr-049_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014581804606556743,0.0,0.0,0.0,0.0,0.0,0.0,-0.12765703775785706,-4.854010343625441
9Cr-064_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3731524187163295,0.0,0.0,0.0,0.0,0.0,0.0,-1.220184974962232,-17.54503362294798
9Cr-068_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22332569786195838,0.0,0.0,0.0,0.0,0.0,0.0,-2.478218579313156,-12.339267492724996
9Cr-076_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7506376736862774,0.0,0.0,0.0,0.0,0.0,0.16440852546092785,0.0,0.0,0.0,0.0,0.0,0.0,-1.8020195316068388,-2.159800556021072
9Cr-062_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.750637673686563,0.0,0.0,0.0,0.0,0.0,0.16440852546092785,0.0,0.0,0.0,0.0,0.0,0.0,-0.6692519239881294,0.0
9Cr-077_22,6.037207815359342,0.0,0.0,0.0,0.0,0.0,0.0,7.928130725782227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.108528120839515,-33.64539013611494
9Cr-066_20,6.037207815359342,0.0,0.0,0.0,0.0,0.0,0.0,10.672405224606173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.108528120840334,-30.772462709697116
9Cr-075_7,6.037207815359342,0.0,0.0,0.0,0.0,0.0,0.0,10.672405224606173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.936422349763632,-41.99343638935367
9Cr-053_7,6.037207815359342,0.0,0.0,0.0,0.0,0.0,0.0,10.672405224606173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.827894228923298,-34.99490891449239
9Cr-069_4,6.3392069773609725,0.0,0.0,0.0,0.0,0.0,0.0,4.455794165240625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.386986043208605,-22.502375945381882
9Cr-071_28,2.051010357741412,0.0,0.0,0.0,0.0,0.0,0.0,4.4557941652410085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.386986043208605,-49.99043397394313
9Cr-066_13,1.101971812910712,0.0,0.0,0.0,0.0,0.0,0.0,5.534083428116467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.386986043208605,-17.794964251004703
9Cr-063_4,1.6248408064545083,0.0,0.0,0.0,0.0,0.0,0.0,5.534083428116467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.827894228923298,25.8438077844701
9Cr-050_7,1.674827515733585,0.0,0.0,0.0,0.0,0.0,0.0,5.534083428116851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.071859450198529
9Cr-050_6,1.674827515733585,0.0,0.0,0.0,0.0,0.0,0.0,5.534083428116851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.195326908618002,-25.05726132831988
9Cr-078_19,2.2769821415029714,0.0,0.0,0.0,0.0,0.0,0.0,5.534083428116467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.195326908618002,-12.584067407013222
9Cr-024_6,-0.5962412101789905,0.0,0.0,0.0,0.0,0.0,0.0,0.36581514824370187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7511636965829243,-17.740552495758468
9Cr-067_23,-2.01133660772575,0.0,0.0,0.0,0.0,0.0,0.0,0.06272583053148369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7388163313054426,11.63197919235499
9Cr-064_4,-2.01133660772575,0.0,0.0,0.0,0.0,0.0,0.0,0.06272583053148369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7388163313054426,11.63197919235499
