iter	RMSE
0	35801.97745
1	35445.46223
2	35164.01197
3	34896.75188
4	34622.02695
5	34357.79263
6	34056.99352
7	33757.88127
8	33358.21126
9	33013.46903
10	32712.24406
11	32464.32193
12	32232.96444
13	32029.57479
14	31778.32019
15	31547.62042
16	31289.49721
17	30953.58837
18	30707.49416
19	30476.95429
20	30285.78492
21	30101.23688
22	29849.82308
23	29614.82114
24	29415.47402
25	29175.85962
26	28985.51599
27	28752.68038
28	28514.11058
29	28284.45593
30	28142.89298
31	27967.71117
32	27705.19484
33	27547.59579
34	27424.31385
35	27226.0913
36	27068.10495
37	26890.14919
38	26722.15666
39	26524.65108
40	26426.75912
41	26250.50669
42	26162.18177
43	26019.75481
44	25892.49247
45	25823.24847
46	25633.16521
47	25555.0842
48	25361.01766
49	25238.52119
50	25100.11921
51	24989.93108
52	24885.3232
53	24750.37174
54	24623.14424
55	24483.14565
56	24336.70027
57	24180.97449
58	24070.51436
59	23968.42491
60	23872.46321
61	23748.79262
62	23665.99847
63	23604.50358
64	23516.98816
65	23463.86118
66	23369.86114
67	23269.44698
68	23168.8836
69	23075.24392
70	22989.75179
71	22924.57652
72	22833.69044
73	22754.73384
74	22722.80192
75	22607.76335
76	22562.90635
77	22502.60924
78	22410.09257
79	22320.21872
80	22238.84366
81	22168.5417
82	22078.06526
83	21990.71393
84	21887.30105
85	21805.36137
86	21777.17087
87	21677.97623
88	21591.63869
89	21527.57693
90	21470.27469
91	21380.05495
92	21314.36169
93	21285.74538
94	21203.8066
95	21136.30033
96	21044.94042
97	20958.92936
98	20877.14009
99	20779.03865
100	20677.22805
101	20647.59821
102	20593.07205
103	20546.31565
104	20482.99475
105	20407.25162
106	20360.2346
107	20291.56162
108	20229.94187
109	20198.8113
110	20139.25576
111	20017.17212
112	19927.63263
113	19869.00386
114	19825.92498
115	19759.15387
116	19665.58267
117	19618.6085
118	19526.47735
119	19461.39364
120	19404.63826
121	19358.72418
122	19297.49545
123	19222.31345
124	19141.74309
125	19073.93945
126	18984.1714
127	18951.35691
128	18893.66658
129	18867.18237
130	18836.83885
131	18775.38754
132	18695.81213
133	18632.69069
134	18592.60098
135	18545.86387
136	18494.85931
137	18450.1416
138	18412.29565
139	18326.94128
140	18265.64216
141	18198.45938
142	18157.95814
143	18110.49123
144	18077.21901
145	18014.21835
146	17937.19853
147	17893.36822
148	17861.42528
149	17809.01101
150	17718.57466
151	17687.51514
152	17639.79291
153	17596.90735
154	17560.19477
155	17508.85533
156	17448.7857
157	17377.39843
158	17333.44955
159	17309.31201
160	17280.90787
161	17235.92688
162	17199.74506
163	17121.9435
164	17112.37923
165	17088.09073
166	17010.13131
167	16970.74071
168	16959.97172
169	16931.38104
170	16925.87538
171	16874.24533
172	16841.24021
173	16788.94323
174	16744.09032
175	16663.51821
176	16577.51127
177	16548.09581
178	16524.86647
179	16501.58053
180	16480.51175
181	16448.84364
182	16416.58231
183	16368.40873
184	16315.28486
185	16296.2899
186	16247.72736
187	16217.5143
188	16143.63954
189	16088.38841
190	16046.75418
191	15978.20955
192	15947.68531
193	15933.90787
194	15879.67319
195	15848.37929
196	15806.478
197	15760.41272
198	15721.84268
199	15672.38796
200	15603.29918
201	15572.91667
202	15530.24134
203	15473.88594
204	15422.44063
205	15376.29496
206	15350.28625
207	15313.97607
208	15267.65777
209	15239.94864
210	15208.69113
211	15171.7773
212	15133.7086
213	15083.06622
214	15045.54325
215	15009.45517
216	14953.71933
217	14914.25387
218	14876.33484
219	14833.97206
220	14775.33803
221	14726.27015
222	14663.56487
223	14609.65072
224	14561.35542
225	14504.43823
226	14459.40731
227	14410.87517
228	14381.67497
229	14344.80423
230	14279.67644
231	14235.87619
232	14169.55999
233	14129.43784
234	14079.03364
235	14041.13777
236	14012.73908
237	13961.59126
238	13952.66856
239	13930.58112
240	13880.6232
241	13868.50914
242	13827.26557
243	13789.63131
244	13750.6698
245	13733.42609
246	13710.32087
247	13668.50176
248	13646.7852
249	13599.02742
250	13562.74694
251	13499.87163
252	13487.99848
253	13443.59369
254	13400.97707
255	13363.01278
256	13314.65362
257	13279.77148
258	13229.28575
259	13183.83141
260	13168.44553
261	13132.80453
262	13092.36708
263	13065.89981
264	13029.28303
265	12988.12259
266	12972.97414
267	12932.04758
268	12914.39613
269	12875.82586
270	12823.87568
271	12782.53734
272	12733.01886
273	12698.07691
274	12683.48105
275	12651.05211
276	12633.64637
