iter	RMSE
0	4480.604813
1	4453.316358
2	4426.635794
3	4401.625757
4	4376.556604
5	4350.531855
6	4324.936636
7	4299.304794
8	4274.69945
9	4250.428856
10	4224.831849
11	4199.780711
12	4176.436039
13	4151.907094
14	4129.661379
15	4105.607122
16	4081.318369
17	4059.450513
18	4035.847203
19	4012.385144
20	3988.822895
21	3966.148972
22	3943.331713
23	3920.199308
24	3898.239043
25	3875.475326
26	3854.053162
27	3832.475952
28	3811.002672
29	3789.717134
30	3768.716671
31	3747.421619
32	3726.449851
33	3705.66296
34	3685.233052
35	3664.574565
36	3645.043531
37	3624.628083
38	3604.79634
39	3584.744334
40	3566.413017
41	3546.501605
42	3526.83841
43	3507.647154
44	3487.859763
45	3469.605581
46	3450.579327
47	3430.886414
48	3412.228966
49	3393.550791
50	3374.823485
51	3356.764113
52	3338.466956
53	3320.317737
54	3301.602657
55	3283.92727
56	3266.35537
57	3249.472417
58	3231.691868
59	3214.220644
60	3197.003617
61	3180.98395
62	3164.819527
63	3148.157433
64	3131.22879
65	3114.640786
66	3098.466911
67	3081.55608
68	3065.320255
69	3049.019489
70	3033.163842
71	3016.939358
72	3002.067271
73	2985.891592
74	2970.057286
75	2954.567157
76	2939.163336
77	2923.619065
78	2908.966896
79	2893.635653
80	2878.798796
81	2863.720066
82	2849.186536
83	2835.040342
84	2820.405516
85	2806.591348
86	2792.769429
87	2778.416171
88	2764.400631
89	2750.807982
90	2737.172049
91	2724.18937
92	2711.431905
93	2698.198681
94	2684.757166
95	2672.288679
96	2659.694597
97	2646.715168
98	2634.324282
99	2621.226438
100	2608.52035
101	2595.850388
102	2583.462078
103	2571.018754
104	2558.781244
105	2546.264556
106	2534.056029
107	2521.944518
108	2510.800593
109	2498.943667
110	2487.134544
111	2476.088806
112	2464.739981
113	2453.810671
114	2443.174048
115	2432.180148
116	2421.507573
117	2410.716669
118	2400.189672
119	2389.493807
120	2378.888094
121	2368.422676
122	2357.443214
123	2346.715829
124	2336.169427
125	2326.233426
126	2316.395955
127	2305.911028
128	2296.242268
129	2286.179878
130	2275.876064
131	2265.944692
132	2256.570138
133	2246.587069
134	2236.723311
135	2227.033358
136	2217.62253
137	2208.215345
138	2199.141807
139	2190.443576
140	2182.062358
141	2172.90494
142	2163.453351
143	2154.671484
144	2145.357268
145	2136.477298
146	2127.188369
147	2118.840992
148	2110.740485
149	2102.16762
150	2093.877139
151	2085.464902
152	2077.329706
153	2068.885135
154	2060.626853
155	2052.704422
156	2043.921091
157	2035.802059
158	2027.732371
159	2019.276081
160	2011.95743
161	2004.720446
162	1996.701449
163	1988.854752
164	1981.204846
165	1973.781254
166	1966.208279
167	1958.276356
168	1951.188614
169	1943.295033
170	1935.610172
171	1928.875596
172	1921.256123
173	1914.241484
174	1906.792367
175	1899.611097
176	1892.193901
177	1885.250218
178	1878.453193
179	1871.004251
180	1863.83213
181	1857.493886
182	1850.808441
183	1843.681465
184	1837.298514
185	1831.00145
186	1824.075206
187	1817.486372
188	1811.322759
189	1804.369722
190	1798.040244
191	1792.098149
192	1786.254223
193	1780.142829
194	1773.504429
195	1767.548694
196	1761.317146
197	1755.181581
198	1749.425519
199	1742.950364
200	1736.641948
201	1730.967992
202	1724.750548
203	1718.876865
204	1713.244422
205	1707.613794
206	1702.206717
207	1696.799667
208	1690.918208
209	1685.490872
210	1679.646668
211	1674.298252
212	1669.089517
213	1663.53441
214	1658.018991
215	1652.671766
216	1647.468996
217	1642.399845
218	1637.673293
219	1632.175458
220	1626.80571
221	1621.601565
222	1616.49184
223	1611.219703
224	1606.268127
225	1600.879504
226	1596.102101
227	1591.274805
228	1586.311831
229	1581.241897
230	1576.066793
231	1571.262258
232	1566.170197
233	1561.446734
234	1556.748409
235	1552.052487
236	1547.567077
237	1543.49573
238	1539.047076
239	1534.148886
240	1529.562414
241	1524.576679
242	1519.724038
243	1514.981551
244	1510.777021
245	1506.11578
246	1501.982048
247	1498.061968
248	1493.285381
249	1489.212957
250	1485.266468
251	1480.8634
252	1476.764096
253	1472.583001
254	1468.664138
255	1464.75415
256	1460.823992
257	1456.7124
258	1452.552137
259	1448.239004
260	1444.000789
261	1439.676761
262	1435.764715
263	1431.858237
264	1427.995812
265	1424.404792
266	1420.433226
267	1416.350204
268	1412.408142
269	1408.848674
270	1404.652444
271	1401.123806
272	1397.407206
273	1393.837001
274	1390.756729
275	1387.244209
276	1383.881902
277	1380.285604
278	1376.778994
279	1373.314805
280	1369.584448
281	1366.106826
282	1362.833974
283	1359.44812
284	1355.808867
285	1352.51141
286	1349.252872
287	1345.977949
288	1342.594725
289	1339.532267
290	1336.504253
291	1333.374786
292	1330.313729
293	1326.98076
294	1323.764965
295	1320.548724
296	1317.628817
297	1314.790406
298	1311.739675
299	1308.439903
300	1305.401665
301	1302.20916
302	1299.384404
303	1296.293739
304	1293.377195
305	1290.399592
306	1287.38665
307	1284.20689
308	1280.80535
309	1277.630332
310	1274.914863
311	1272.211358
312	1269.022805
313	1266.021439
314	1262.909913
315	1259.899103
316	1256.982007
317	1253.82638
318	1251.007344
319	1248.37893
320	1245.803575
321	1243.0201
322	1240.403494
323	1237.32084
324	1234.630297
325	1231.905848
326	1229.162683
327	1226.309981
328	1223.853927
329	1220.853725
330	1218.21626
331	1215.818131
332	1213.414564
333	1210.884865
334	1208.267166
335	1205.566843
336	1202.992337
337	1200.38601
338	1197.66923
339	1195.330496
340	1193.038728
341	1190.683039
342	1187.974152
343	1185.780624
344	1183.3362
345	1180.791629
346	1178.639941
347	1176.191644
348	1174.001327
349	1171.306263
350	1169.26874
351	1167.212376
352	1164.877331
353	1162.254756
354	1160.150839
355	1157.997919
356	1155.78581
357	1153.487978
358	1151.3663
359	1148.86353
360	1146.48156
361	1144.034836
362	1141.750221
363	1139.719967
364	1137.557546
365	1135.326274
366	1132.99991
367	1130.961047
368	1128.525239
369	1126.425374
370	1123.880751
371	1121.607092
372	1119.562163
373	1117.556228
374	1115.585248
375	1113.286592
376	1111.23399
377	1109.470996
378	1107.210168
379	1105.133194
380	1103.219786
381	1101.01435
382	1099.020783
383	1097.11321
384	1094.883939
385	1092.640442
386	1090.617539
387	1088.670592
388	1086.928261
389	1084.722956
390	1082.89753
391	1080.793817
392	1078.797645
393	1077.091977
394	1075.151501
395	1073.299508
396	1071.627242
397	1069.670043
398	1067.629546
399	1065.739303
400	1063.638233
401	1061.892514
402	1060.004509
403	1058.506885
404	1056.411532
405	1054.492221
406	1052.587572
407	1050.747374
408	1049.025739
409	1047.458563
410	1045.953089
411	1044.126918
412	1042.398567
413	1040.389387
414	1038.777623
415	1037.00787
416	1035.088048
417	1033.151715
418	1031.434172
419	1029.723883
420	1028.179867
421	1026.543152
422	1024.994187
423	1023.545821
424	1022.291163
425	1020.658874
426	1018.718792
427	1017.04218
428	1015.420573
429	1014.010313
430	1012.070897
431	1010.445583
432	1008.650656
433	1006.923422
434	1005.24702
435	1003.568726
436	1001.928882
437	1000.004797
438	998.4320534
439	996.4353542
440	994.8485219
441	993.1640002
442	991.4869178
443	990.2625089
444	988.5641237
445	986.9245565
446	985.4666823
447	983.8415924
448	981.9058677
449	980.4222282
450	978.8285114
451	977.1548176
452	975.8614232
453	974.4859954
454	973.2163905
455	971.9510343
456	970.3324885
457	968.8832926
458	967.3718333
459	965.5371958
460	964.0630361
461	962.5770655
462	961.3770261
463	960.2211426
464	958.780715
465	957.223759
466	955.9790923
467	954.6377464
468	953.2391358
469	951.7179433
470	950.3475374
471	948.751056
472	947.2400965
473	946.2426448
474	944.7728478
475	943.3949195
476	942.0290052
477	940.1640989
478	938.9578629
479	937.6361453
480	936.0453958
481	934.6281105
482	933.5536719
483	932.1742945
484	930.5777862
485	929.1998156
486	927.9455458
487	927.0766443
488	925.7845154
489	924.4027179
490	922.8808377
491	921.6999834
492	920.3646633
493	918.9816651
494	917.7562585
495	916.2150434
496	914.5734168
497	913.558404
498	912.5552764
499	911.5237568
500	910.2527936
501	909.0995047
502	907.9419596
503	906.2260267
504	905.0821541
505	904.0508048
506	902.9032669
507	901.7123327
508	900.7510931
509	899.4797478
510	898.2309919
511	896.5206638
512	895.3205517
513	894.1756781
514	892.802078
515	891.8731938
516	890.5757104
517	889.0290515
518	887.5666058
519	886.1601155
520	885.2968417
521	884.1977347
522	882.8941177
523	881.9353804
524	880.6689273
525	879.1839344
526	877.9563733
527	876.8019167
528	875.3336063
529	874.1469041
530	872.7312299
531	871.2607829
532	869.9737805
533	868.661659
534	867.5216994
535	866.1388347
536	865.2889041
537	864.3361546
538	863.3981342
539	862.4730725
540	861.4211133
541	859.9446123
542	859.1109553
543	857.8200894
544	856.7664975
545	855.7749966
546	854.8309304
547	853.4098028
548	852.1769767
549	850.9720252
550	849.7405287
551	848.5994997
552	847.6751208
553	846.6498264
554	845.819628
555	844.7551976
556	843.3817666
557	842.4231922
558	840.9557788
559	839.885417
560	838.7780915
561	837.7993568
562	836.6777022
563	835.8280435
564	834.6919663
565	833.8438203
566	832.9599815
567	831.9561873
568	830.9305512
569	829.6419047
570	828.8269899
571	828.0956243
572	827.0782959
573	825.7992971
574	824.4590711
575	823.4085836
576	822.1776588
577	821.0683045
578	820.3063836
579	819.3699343
580	818.1001861
581	817.2510554
582	816.4211716
583	815.2037261
584	814.0214009
585	813.0733278
586	812.0057948
587	810.8846106
588	810.0450331
589	809.3793783
590	808.517211
591	807.3594184
592	806.4196601
593	805.5040344
594	804.365086
595	803.4491634
596	802.4464005
597	801.403273
598	800.6061911
599	799.7051205
600	798.5016591
601	797.5469843
602	796.7564442
603	795.9001726
604	794.9625453
605	794.053471
606	793.1943219
607	792.4681591
608	791.5443523
609	790.5355191
610	789.7928018
611	788.8981163
612	787.8414888
613	786.6653299
614	785.6950072
615	784.6895358
616	783.7992039
617	782.9508468
618	782.0780272
619	781.1476864
620	780.2084185
621	779.3078527
622	778.5239607
623	777.8100734
624	776.9063588
625	776.1911111
626	775.2192014
627	774.5147148
628	773.6649245
629	772.84218
630	771.9999273
631	771.1858982
632	770.586221
633	769.922104
634	769.1008291
635	768.3156149
636	767.4723658
637	766.657162
638	765.8159077
639	764.922666
640	763.9640976
641	763.214455
642	762.5161263
643	761.3989376
644	760.5715842
645	759.7042654
646	758.7740957
647	758.0095209
648	757.2082658
649	756.5204746
650	755.7692418
651	755.0218388
652	754.1452401
653	753.5166469
654	752.6418896
655	751.8104609
656	750.9709464
657	750.0325646
658	749.3870382
659	748.477718
660	747.8302632
661	747.2235857
662	746.396243
663	745.7176342
664	744.919616
665	744.3190484
666	743.6379312
667	742.9232265
668	742.1270909
669	741.5349694
670	740.8000457
671	740.0579658
672	739.3181087
673	738.5429734
674	737.8155995
675	737.0059658
676	736.3109062
677	735.5274521
678	734.750211
679	733.8713547
680	733.1475335
681	732.5805042
682	731.6007541
683	730.9828253
684	730.1076407
685	729.3846526
686	728.4516477
687	727.8326924
688	727.1804901
689	726.5199318
690	725.7714664
691	725.083916
692	724.3802543
693	723.6057977
694	722.8042807
695	721.8849932
696	721.3263633
697	720.6663256
698	719.7348196
699	718.8602337
700	717.9632853
701	717.0999181
702	716.3481559
703	715.5655259
704	714.9105338
705	714.0533187
706	713.1790264
707	712.3077396
708	711.4438783
709	710.7379622
710	709.9441774
711	709.1129269
712	708.4293346
713	707.5781339
714	706.8414367
715	705.9736177
716	705.199195
717	704.3872055
718	703.6826674
719	702.8525695
720	702.1999358
721	701.5492383
722	700.7237316
723	700.098195
724	699.287726
725	698.4480527
726	697.6884019
727	697.0202699
728	696.3360135
729	695.506871
730	695.042019
731	694.2521582
732	693.4533221
733	692.6823537
734	691.9808399
735	691.2643995
736	690.5480693
737	689.752962
738	689.0216031
739	688.25717
740	687.6568322
741	687.0053046
742	686.3942067
743	685.6155154
744	685.0735023
745	684.2914063
746	683.5224725
747	682.9776356
748	682.2440272
749	681.4795442
750	680.7447759
751	679.9943613
752	679.477744
753	678.7548315
754	678.181052
755	677.4088261
756	676.8263752
757	676.255636
758	675.7682468
759	675.3374762
760	674.864565
761	674.3014331
762	673.6164685
763	672.9099629
764	672.3608995
765	671.7585898
766	671.0402473
767	670.3673161
768	669.6558024
769	669.1183153
770	668.66479
771	667.9352311
772	667.233474
773	666.6277247
774	666.1408163
775	665.4469205
776	664.8151886
777	664.2175474
778	663.6751129
779	663.1931502
780	662.5762031
781	661.8690217
782	661.1976875
783	660.6840869
784	659.9900387
785	659.3066782
786	658.8370251
787	658.4201164
788	657.7617179
789	657.1576641
790	656.5099418
791	656.0679554
792	655.4175226
793	654.9568506
794	654.3719412
795	653.7080224
796	653.0438383
797	652.4239824
798	651.9608146
799	651.3429119
800	650.7094063
801	650.1680952
802	649.5687619
803	648.9811042
804	648.316831
805	647.8341179
806	647.3878768
807	646.7395582
808	646.1038108
809	645.6126337
810	644.854841
811	644.378835
812	643.8733829
813	643.2592067
814	642.8163105
815	642.1948029
816	641.6373051
817	641.0993911
818	640.4949386
819	639.9834676
820	639.3607408
821	638.7643817
822	638.1765451
823	637.7490955
824	637.1614219
825	636.5711243
826	636.0117245
827	635.4310824
828	634.7774318
829	634.2054154
830	633.6098397
831	633.2364672
832	632.6691504
833	632.1227526
834	631.6828624
835	631.152702
836	630.6195434
837	629.9480425
838	629.3849311
839	628.8333852
840	628.2838213
841	627.7775438
842	627.248119
843	626.8103988
844	626.2689099
845	625.8508974
846	625.2856465
847	624.8450925
848	624.3151962
849	623.6997582
850	623.2677774
851	622.7810602
852	622.2419737
853	621.8121673
854	621.3552024
855	620.9237235
856	620.3719556
857	619.83453
858	619.3187364
859	618.7798152
860	618.3460139
861	617.8380977
862	617.371392
863	616.8655305
864	616.3621475
865	615.9405404
866	615.5334208
867	615.0811224
868	614.4092231
869	614.068815
870	613.5677258
871	613.2042956
872	612.8468828
873	612.2765416
874	611.7912227
875	611.5290117
876	611.1744273
877	610.7490472
878	610.3215438
879	609.7911369
880	609.3117221
881	608.8725839
882	608.5221151
883	608.0743452
884	607.5104855
885	607.1944732
886	606.6393126
887	606.174804
888	606.0566147
889	605.5624234
890	605.0886499
891	604.6254113
892	604.1797792
893	603.7207934
894	603.2615997
895	602.8023867
896	602.3188427
897	601.8387901
898	601.3489963
899	600.9032123
900	600.3313898
901	599.8886282
902	599.3691952
903	598.902696
904	598.4896207
905	598.0518203
906	597.5679418
907	596.8834736
908	596.4655578
909	596.1395377
910	595.6230993
911	595.2206756
912	594.7084926
913	594.1917308
914	593.7592545
915	593.3326611
916	593.0595123
917	592.698935
918	592.2715245
919	591.8687429
920	591.5052961
921	591.0743441
922	590.7509757
923	590.3600259
924	589.9632317
925	589.2726499
926	588.8076469
927	588.3873031
928	588.0418612
929	587.6725112
930	587.2162101
931	586.8050903
932	586.3763601
933	586.0346903
934	585.635223
935	585.1365788
936	584.7343235
937	584.32747
938	583.8255198
939	583.3847888
940	583.0362778
941	582.6273108
942	582.2332894
943	581.7770535
944	581.4069976
945	580.9767818
946	580.5957546
947	580.258178
948	579.8222109
949	579.4519737
950	579.1085366
951	578.8390597
952	578.416917
953	577.9043776
954	577.4107157
955	577.0445611
956	576.6668017
957	576.2686355
958	575.8644925
959	575.5637103
960	575.1582531
961	574.7420194
962	574.3287738
963	573.9857866
964	573.6116919
965	573.1034664
966	572.7406859
967	572.3231925
968	571.9172869
969	571.50069
970	571.2548359
971	570.8447126
972	570.5717596
973	570.1000962
974	569.6519813
975	569.2917214
976	568.9695649
977	568.5397784
978	568.0614953
979	567.7228679
980	567.3479884
981	566.9181513
982	566.5918794
983	566.1581159
984	565.8131433
985	565.6012511
986	565.1843782
987	564.7560354
988	564.2222847
989	563.8607574
990	563.5193419
991	563.1738638
992	562.8174425
993	562.4347908
994	562.0424135
995	561.6208948
996	561.2824221
997	560.9432314
998	560.5607407
999	560.3691858
1000	560.0388552
1001	559.7391267
1002	559.319387
1003	558.7846735
1004	558.370062
1005	557.9177249
1006	557.3846569
1007	557.0403959
1008	556.6961744
1009	556.4466867
1010	556.1816057
1011	555.8396303
1012	555.3425907
1013	554.9652308
1014	554.5805815
1015	554.1722115
1016	553.801316
1017	553.2960465
1018	552.8556429
1019	552.5281078
1020	552.0431794
1021	551.6393993
1022	551.3161352
1023	550.8289609
1024	550.4687358
1025	550.1603883
1026	549.8384637
1027	549.4667828
1028	549.1062523
1029	548.7508273
1030	548.3684039
1031	548.1132152
1032	547.6633368
1033	547.2108783
1034	546.8409299
1035	546.3065948
1036	545.9512846
1037	545.5753324
1038	545.4094321
1039	545.048189
1040	544.472096
1041	543.9212542
1042	543.6199422
1043	543.403932
1044	542.7875907
1045	542.4596698
1046	542.1329118
1047	541.7090208
1048	541.1207928
1049	540.711483
1050	540.4064143
1051	540.0148423
1052	539.6112622
1053	539.2809216
1054	538.8391625
1055	538.4248261
1056	537.8472654
1057	537.4145257
1058	536.9911268
1059	536.6295635
1060	536.2858417
1061	535.9930771
1062	535.5300298
1063	535.2858466
1064	534.8419623
1065	534.4754991
1066	533.8892961
1067	533.5561801
1068	533.2189328
1069	532.8997419
1070	532.5680617
1071	532.1385224
1072	531.7434597
1073	531.3846028
1074	530.9927721
1075	530.6603676
1076	530.2823713
1077	529.9784309
1078	529.6861995
1079	529.3826789
1080	529.0043104
1081	528.7096401
1082	528.2910724
1083	527.713186
1084	527.3397341
1085	527.1146637
1086	526.7189835
1087	526.3640736
1088	525.9030619
1089	525.501787
1090	525.1747975
1091	524.89
1092	524.40411
1093	524.0605389
1094	523.7141745
1095	523.4518212
1096	523.1045105
1097	522.8027773
1098	522.6159683
1099	522.317646
1100	522.012448
1101	521.5346283
1102	521.1735035
1103	520.8344716
1104	520.5136601
1105	520.0672584
1106	519.7062337
1107	519.3613544
1108	519.0757357
1109	518.6193563
1110	518.2260877
1111	517.7633772
1112	517.6102581
1113	517.2773558
1114	516.9633101
1115	516.738973
1116	516.3436673
1117	515.9508156
1118	515.6902892
1119	515.3654819
1120	515.0491188
1121	514.9256889
1122	514.5404878
1123	514.2529864
1124	514.0081673
1125	513.7199909
1126	513.4124217
1127	513.1409696
1128	512.744103
1129	512.6242441
1130	512.3986829
1131	512.0154724
1132	511.4877527
1133	511.0437698
1134	510.6046275
1135	510.2804432
1136	509.9632637
1137	509.5891649
1138	509.2943181
1139	509.0024114
1140	508.6123218
1141	508.2260055
1142	507.9101271
1143	507.6217494
1144	507.4388241
1145	506.9518853
1146	506.6706889
1147	506.3258118
1148	506.0410093
1149	505.7077336
1150	505.4223605
1151	505.1392868
1152	504.8013718
1153	504.5728966
1154	504.2606568
1155	503.9809871
1156	503.6510967
1157	503.3676933
1158	503.0630419
1159	502.7207954
1160	502.3459061
1161	502.0779726
1162	501.8466862
1163	501.4938089
1164	501.0273119
1165	500.5780369
1166	500.3696093
1167	500.0127343
1168	499.7474098
1169	499.3486524
1170	499.09327
1171	498.7471356
1172	498.5500476
1173	498.2092497
1174	497.7795423
1175	497.5316877
1176	497.2015554
1177	496.8846994
1178	496.639829
