iter	RMSE
0	4418.827511
1	4397.723235
2	4375.304933
3	4355.52941
4	4334.205973
5	4312.61754
6	4292.044285
7	4272.412818
8	4251.38169
9	4230.192474
10	4209.248086
11	4189.778546
12	4168.809761
13	4148.679827
14	4128.158876
15	4107.339648
16	4087.748695
17	4067.46331
18	4048.36566
19	4028.04116
20	4008.885924
21	3990.244675
22	3971.82769
23	3954.401467
24	3935.013725
25	3916.427171
26	3897.941944
27	3880.011749
28	3862.448951
29	3844.709403
30	3826.583923
31	3808.928334
32	3791.413438
33	3773.542509
34	3755.414335
35	3738.929252
36	3722.302594
37	3705.366253
38	3688.331564
39	3671.426717
40	3654.196675
41	3636.804903
42	3619.835587
43	3603.532102
44	3587.435016
45	3571.894669
46	3556.122877
47	3540.700785
48	3525.094252
49	3508.807744
50	3492.579025
51	3476.538979
52	3462.189214
53	3446.357503
54	3430.57094
55	3414.916525
56	3400.652464
57	3386.244979
58	3370.578074
59	3356.677103
60	3341.872004
61	3328.174462
62	3313.35943
63	3298.495821
64	3283.963771
65	3270.551558
66	3255.453669
67	3241.844151
68	3228.354116
69	3214.325309
70	3201.508078
71	3188.084064
72	3174.357699
73	3161.072129
74	3148.297363
75	3134.98348
76	3122.23448
77	3109.053336
78	3096.275258
79	3083.08489
80	3070.083666
81	3057.438491
82	3045.159292
83	3033.128396
84	3021.28356
85	3008.885456
86	2996.513771
87	2983.993621
88	2972.322456
89	2960.416965
90	2949.055518
91	2938.038118
92	2926.681986
93	2915.366071
94	2903.882776
95	2892.366567
96	2880.338657
97	2869.473545
98	2858.747114
99	2848.107605
100	2836.372138
101	2825.060086
102	2814.230112
103	2803.72401
104	2793.210674
105	2782.405564
106	2771.39582
107	2760.493114
108	2749.866011
109	2739.642746
110	2730.290876
111	2719.504623
112	2709.160568
113	2698.75155
114	2688.405025
115	2678.010852
116	2667.334994
117	2656.836807
118	2646.600641
119	2636.973365
120	2627.54113
121	2618.157211
122	2607.891844
123	2598.178854
124	2588.957453
125	2579.469616
126	2570.522458
127	2561.09978
128	2551.547442
129	2542.310742
130	2533.926212
131	2524.766674
132	2514.854261
133	2505.911044
134	2497.731925
135	2489.440908
136	2481.312938
137	2472.692218
138	2464.419178
139	2456.274916
140	2448.576292
141	2440.789235
142	2432.73914
143	2424.445368
144	2416.502526
145	2408.526923
146	2400.922884
147	2392.362487
148	2385.306216
149	2377.581447
150	2368.62305
151	2361.040123
152	2352.845753
153	2345.57222
154	2337.524269
155	2329.888947
156	2322.916539
157	2315.493282
158	2307.778832
159	2300.252408
160	2293.024541
161	2285.453704
162	2276.927406
163	2269.431464
164	2261.671818
165	2254.569962
166	2247.385384
167	2240.261401
168	2233.344467
169	2226.918524
170	2219.704723
171	2212.469871
172	2205.408117
173	2198.813485
174	2191.690982
175	2185.187722
176	2179.011847
177	2172.653082
178	2165.917116
179	2159.163089
180	2152.625159
181	2145.174224
182	2138.723363
183	2131.742763
184	2124.67711
185	2117.360351
186	2111.054462
187	2104.87989
188	2098.448745
189	2092.308305
190	2086.79841
191	2080.499617
192	2074.226973
193	2068.250691
194	2062.094793
195	2056.391907
196	2051.115811
197	2045.378078
198	2039.246097
199	2033.581612
200	2027.46956
201	2021.336607
202	2015.315072
203	2009.980404
204	2004.058406
205	1997.825258
206	1992.359616
207	1986.611784
208	1981.299842
209	1975.805925
210	1969.376258
211	1963.299547
212	1958.513455
213	1952.083747
214	1946.641511
215	1941.940214
216	1936.163468
217	1930.278869
218	1924.709683
219	1918.668292
220	1913.583949
221	1908.39482
222	1904.250443
223	1898.614401
224	1892.941524
225	1887.126327
226	1881.681073
227	1876.516938
228	1871.643019
229	1866.879915
230	1862.277531
231	1856.530871
232	1851.598031
233	1847.490519
234	1841.88435
235	1836.115912
236	1831.477056
237	1827.058882
238	1821.699404
239	1817.293822
240	1813.092711
241	1807.550392
242	1802.287964
243	1798.421001
244	1793.365831
245	1788.033413
246	1782.695607
247	1777.275788
248	1772.500799
249	1767.850514
250	1762.93829
251	1758.691338
252	1754.152163
253	1749.271917
254	1744.455438
255	1739.468229
256	1734.496615
257	1729.704183
258	1725.022518
259	1720.010968
260	1715.236653
261	1710.501597
262	1705.799054
263	1701.119496
264	1696.666211
265	1691.611254
266	1687.475401
267	1683.27186
268	1679.322515
269	1675.262421
270	1670.728608
271	1666.493146
272	1662.56053
273	1658.537566
274	1653.957441
275	1649.265162
276	1645.313409
277	1641.939677
278	1637.743946
279	1633.138827
280	1628.773345
281	1624.325674
282	1620.688389
283	1616.626441
284	1612.912544
285	1608.812555
286	1604.842658
287	1601.163612
288	1597.541313
289	1593.474248
290	1590.207115
291	1586.558656
292	1582.42019
293	1579.072423
294	1574.803923
295	1571.426617
296	1568.108942
297	1564.455937
298	1560.988132
299	1556.812844
300	1552.957234
301	1549.63955
302	1545.601334
303	1542.475019
304	1538.713817
305	1535.626306
306	1532.147689
307	1528.940626
308	1525.356792
309	1522.200526
310	1518.410805
311	1515.29894
312	1511.693453
313	1508.42481
314	1504.8172
315	1501.609965
316	1498.401038
317	1495.177124
318	1492.174866
319	1489.102101
320	1485.576836
321	1482.026229
322	1478.70911
323	1475.653747
324	1472.737963
325	1469.945484
326	1466.76729
327	1463.825828
328	1460.26082
329	1457.127138
330	1454.287439
331	1451.391042
332	1448.721853
333	1446.187236
334	1443.023078
335	1440.139191
336	1437.801997
337	1434.353721
338	1431.457613
