iter	RMSE
0	1963.864117
1	1956.371622
2	1948.749767
3	1941.50916
4	1934.334882
5	1926.817918
6	1919.235089
7	1911.854537
8	1904.888467
9	1897.863371
10	1890.660776
11	1883.861348
12	1876.453779
13	1869.760547
14	1862.811821
15	1856.031633
16	1849.093738
17	1842.238597
18	1834.83138
19	1828.068302
20	1821.315931
21	1814.896107
22	1807.746453
23	1801.216979
24	1794.777623
25	1788.520012
26	1782.430066
27	1776.022878
28	1769.502704
29	1763.277401
30	1757.572935
31	1751.460335
32	1744.980343
33	1739.035041
34	1732.815888
35	1726.5173
36	1720.768721
37	1715.18125
38	1709.372603
39	1703.237293
40	1697.553526
41	1692.118632
42	1687.037293
43	1681.095102
44	1675.202071
45	1669.610288
46	1663.829211
47	1658.503179
48	1653.145938
49	1648.203464
50	1642.863781
51	1637.797733
52	1632.6093
53	1627.621828
54	1622.544635
55	1617.804832
56	1613.088055
57	1608.12066
58	1603.444546
59	1598.120309
60	1593.50819
61	1588.304213
62	1583.388193
63	1578.521526
64	1573.885194
65	1569.089771
66	1564.653476
67	1559.794555
68	1554.879793
69	1550.023324
70	1545.104739
71	1540.416266
72	1535.896402
73	1531.6567
74	1527.264532
75	1523.151084
76	1518.979892
77	1514.189185
78	1509.558127
79	1504.596982
80	1500.147659
81	1495.769592
82	1491.446465
83	1487.464091
84	1483.528171
85	1479.14427
86	1474.807538
87	1470.062731
88	1466.240721
89	1462.137585
90	1457.194642
91	1453.57309
92	1448.55964
93	1444.59212
94	1441.189752
95	1437.436645
96	1432.917543
97	1429.310072
98	1424.859086
99	1421.311882
100	1416.918568
101	1413.245898
102	1408.914214
103	1404.621339
104	1400.362401
105	1396.290281
106	1392.42595
107	1388.27408
108	1385.152008
109	1381.025714
110	1376.555532
111	1372.502213
112	1368.596666
113	1364.602734
114	1360.25697
115	1356.33364
116	1352.486409
117	1348.776899
118	1345.646121
119	1341.363793
120	1338.291761
121	1334.495687
122	1331.539382
123	1328.412884
124	1324.725436
125	1321.78417
126	1318.066627
127	1315.571204
128	1311.897
129	1308.751516
130	1305.126583
131	1301.534746
132	1297.980133
133	1294.458057
134	1290.963873
135	1287.79073
136	1284.348425
137	1280.558571
138	1277.876157
139	1274.628093
140	1270.894155
141	1267.503384
142	1264.219156
143	1261.068953
144	1257.763986
145	1254.533064
146	1251.474698
147	1248.344604
148	1245.241214
149	1241.66385
150	1237.668743
151	1234.581604
152	1230.900651
153	1227.839741
154	1224.845495
155	1222.016219
156	1219.205309
157	1215.992414
158	1213.064225
159	1210.207839
160	1206.256911
161	1204.037972
162	1201.225978
163	1198.374936
164	1195.440199
165	1191.47228
166	1188.719503
167	1184.804981
168	1182.107633
169	1179.409619
170	1175.786843
171	1173.123146
172	1170.488042
173	1166.78282
174	1163.174724
175	1161.173098
176	1157.870992
177	1155.297012
178	1151.885423
179	1149.255064
180	1145.739021
181	1143.142834
182	1140.7087
183	1137.250845
184	1134.840471
185	1131.573896
186	1129.049354
187	1125.691028
188	1122.347327
189	1118.959091
190	1116.615663
191	1113.612173
192	1111.29774
193	1108.939275
194	1105.714254
195	1102.391418
196	1099.293222
197	1096.373845
198	1093.234664
199	1091.007511
200	1088.064587
201	1085.977562
202	1082.990693
203	1080.141031
204	1077.136098
205	1074.084705
206	1071.921788
207	1069.717222
208	1067.53335
209	1064.601623
210	1061.65477
211	1058.820396
212	1056.009102
213	1053.27076
214	1050.462052
215	1048.349188
216	1045.582149
217	1043.48812
218	1041.462108
219	1038.855806
220	1036.849768
221	1034.143915
222	1032.16663
223	1029.536453
224	1027.630029
225	1024.991401
226	1023.347894
227	1021.414425
228	1019.454526
229	1016.694376
230	1014.762343
231	1012.196056
232	1009.708353
233	1007.068698
234	1004.579916
235	1002.080438
236	1000.279197
237	998.4428632
238	996.4705508
239	994.6588882
240	993.045101
241	990.5119696
242	988.0521037
243	985.6167373
244	983.9672046
245	982.0856688
246	979.70433
247	977.9453842
248	975.6332633
249	973.2690152
250	971.504221
251	969.3612092
252	967.5571736
253	965.2826606
254	963.1023981
255	960.8972463
256	959.3271658
257	957.5263924
258	955.810918
259	953.915104
260	952.6227431
261	951.2294623
262	949.7457553
263	947.9365051
264	945.8195896
265	943.6917947
266	942.0308408
267	940.3422561
268	938.3603096
269	936.7496991
270	934.7309944
271	933.3274706
272	931.9156756
273	930.212304
274	928.5750842
275	927.3537233
276	925.9733798
277	924.0051688
278	922.3366005
279	921.0227597
280	919.0177215
281	917.7230505
282	916.3591154
