iter	Passed	Remaining
0	39	1953073
1	47	1192831
2	61	1020034
3	77	974492
4	92	922634
5	105	882752
6	115	822060
7	130	812606
8	143	798883
9	158	790351
10	173	788419
11	183	764205
12	195	751835
13	222	793659
14	237	792359
15	247	774080
16	260	765932
17	275	765548
18	290	762991
19	304	760582
20	313	747146
21	326	741919
22	340	740804
23	363	756547
24	374	747716
25	388	747219
26	408	756585
27	420	750721
28	435	750544
29	446	744037
30	458	739506
31	476	744799
32	492	745099
33	504	741331
34	521	744589
35	536	744832
36	553	746786
37	568	747142
38	578	741320
39	591	738315
40	606	739563
41	620	738026
42	636	739997
43	652	740628
44	669	742665
45	684	743542
46	697	741389
47	708	737635
48	722	736015
49	735	734739
50	755	739834
51	767	736946
52	779	734697
53	789	729922
54	805	731757
55	820	731618
56	836	733329
57	850	732512
58	868	734895
59	882	734886
60	895	733425
61	913	735473
62	927	734977
63	937	731539
64	953	732719
65	966	731508
66	983	733272
67	1000	734544
68	1015	734549
69	1031	736093
70	1046	736269
71	1065	738683
72	1079	738371
73	1094	738430
74	1112	740626
75	1127	740371
76	1141	740397
77	1155	739367
78	1166	736821
79	1179	735704
80	1195	736710
81	1210	736716
82	1227	738214
83	1242	738228
84	1255	737193
85	1267	735429
86	1280	734646
87	1293	733449
88	1314	737224
89	1325	735115
90	1346	738402
91	1357	736587
92	1369	734656
93	1378	731797
94	1394	732769
95	1409	732607
96	1426	733812
97	1441	733785
98	1457	734880
99	1475	736337
100	1489	735703
101	1505	736267
102	1515	734244
103	1528	733479
104	1544	733722
105	1558	733754
106	1572	733287
107	1589	734188
108	1604	734238
109	1620	734964
110	1634	734585
111	1644	732610
112	1660	733276
113	1674	732592
114	1687	732187
115	1704	733030
116	1720	733608
117	1736	734262
118	1751	734240
119	1762	732732
120	1774	731567
121	1789	731746
122	1803	731437
123	1819	731650
124	1833	731585
125	1856	734740
126	1867	733525
127	1879	732187
128	1888	730144
129	1905	730835
130	1919	730679
131	1936	731507
132	1951	731587
133	1968	732377
134	1987	733955
135	1998	732724
136	2014	733386
137	2028	733098
138	2036	730631
139	2051	730765
140	2066	730741
141	2080	730430
142	2092	729533
143	2104	728712
144	2118	728228
145	2133	728664
146	2149	729023
147	2164	728960
148	2180	729550
149	2195	729602
150	2209	729420
151	2221	728542
152	2233	727746
153	2250	728329
154	2263	727996
155	2278	727948
156	2295	728800
157	2310	728987
158	2332	731219
159	2344	730310
160	2356	729554
161	2365	727591
162	2378	727332
163	2393	727383
164	2415	729453
165	2426	728347
166	2458	733564
167	2474	733988
168	2497	736323
169	2514	737049
170	2546	742066
171	2590	750458
172	2637	759737
173	2655	760559
174	2675	761671
175	2703	765295
176	2759	776848
177	2772	775928
178	2809	782095
179	2821	780894
180	2839	781635
181	2854	781237
182	2868	780831
183	2882	780437
184	2902	781456
185	2946	789178
186	2998	798869
187	3035	804219
188	3070	809277
189	3102	813279
190	3145	820189
191	3183	825841
192	3231	833828
193	3248	834058
194	3262	833374
195	3272	831542
196	3290	831846
197	3301	830360
198	3326	832403
199	3336	830871
200	3348	829583
201	3363	829078
202	3377	828618
203	3392	828084
204	3404	827022
205	3417	825977
206	3449	829664
207	3461	828719
208	3479	829001
209	3495	828654
210	3511	828612
211	3526	828236
212	3537	826765
213	3549	825678
214	3565	825600
215	3581	825434
216	3598	825592
217	3612	825038
218	3631	825389
219	3642	824218
220	3656	823706
221	3665	821990
222	3680	821481
223	3694	820911
224	3711	821049
225	3737	823094
226	3761	824743
227	3772	823562
228	3795	824891
229	3808	824085
230	3860	831684
231	3894	835489
232	3922	837778
233	3942	838414
234	3957	838138
235	3975	838391
236	3993	838446
237	4021	840817
238	4036	840403
239	4054	840666
240	4071	840613
241	4090	841108
242	4106	840895
243	4121	840456
244	4139	840697
245	4154	840329
246	4172	840506
247	4189	840487
248	4218	842955
249	4232	842325
250	4242	840803
251	4280	845064
252	4297	845080
253	4312	844626
254	4330	844875
255	4346	844606
256	4371	846205
257	4381	844736
258	4409	846810
259	4423	846252
260	4441	846430
261	4457	846216
262	4475	846423
263	4491	846231
264	4506	845839
265	4529	846959
266	4542	846173
267	4569	847908
268	4578	846507
269	4615	850115
270	4638	851129
271	4655	851116
272	4688	853978
273	4711	855111
274	4762	861161
275	4816	867667
276	4866	873557
277	4887	874109
278	4903	873945
279	4923	874345
280	4939	874016
281	4952	873200
282	4966	872588
283	4984	872550
284	5001	872446
285	5013	871406
286	5023	870198
287	5043	870484
288	5056	869837
289	5070	869229
290	5084	868505
291	5098	867957
292	5116	868064
293	5128	867114
294	5143	866706
295	5158	866156
296	5167	864758
297	5192	866007
298	5205	865211
299	5215	864101
300	5241	865447
301	5279	868882
302	5296	868706
303	5313	868609
304	5331	868635
305	5346	868190
306	5360	867665
307	5380	868018
308	5409	869847
309	5444	872700
310	5473	874539
311	5525	879927
312	5548	880845
313	5565	880730
314	5582	880501
